sample,mean_parse_height,num_parses,type,length
t278,,,negative,1
t467,,,negative,1
t535,,,negative,1
t444,,,negative,1
t555,,,negative,1
t98,,,negative,1
t592,,,negative,1
t14,,,negative,1
t466,,,negative,1
t237,,,negative,1
t777 t466,,,negative,2
t14 t98,,,negative,2
t777 t573,,,negative,2
t777 t637,,,negative,2
t804 t467,,,negative,2
t372 t378,,,negative,2
t372 t535,,,negative,2
t593 t98,,,negative,2
t555 t217,,,negative,2
t592 t444,,,negative,2
t217 t689 t444,4.0,1.0,positive,3
t592 t98 t14,,,negative,3
t592 t640 t278,,,negative,3
t37 t217 t30,,,negative,3
t817 t444 t237,,,negative,3
t217 t372 t640,,,negative,3
t892 t278 t467,,,negative,3
t466 t689 t37,,,negative,3
t37 t640 t14,,,negative,3
t804 t804 t535,,,negative,3
t466 t555 t278,,,negative,3
t848 t640 t363 t444,5.0,1.0,positive,4
t848 t372 t573 t777,,,negative,4
t640 t593 t467 t817,,,negative,4
t593 t237 t378 t131,,,negative,4
t689 t804 t593 t592,,,negative,4
t372 t30 t131 t592,,,negative,4
t535 t372 t30 t593,,,negative,4
t535 t573 t593 t467,,,negative,4
t278 t777 t535 t689,,,negative,4
t237 t637 t535 t278,,,negative,4
t817 t804 t637 t237,,,negative,4
t372 t217 t444 t131 t466,,,negative,5
t555 t848 t372 t804 t237,,,negative,5
t467 t37 t637 t640 t363,,,negative,5
t804 t444 t37 t98 t14,,,negative,5
t848 t593 t378 t372 t444,,,negative,5
t817 t378 t592 t804 t593,,,negative,5
t467 t689 t363 t804 t573,,,negative,5
t37 t131 t98 t777 t237,,,negative,5
t278 t131 t555 t278 t372,,,negative,5
t777 t689 t592 t777 t535,,,negative,5
t535 t573 t14 t555 t237 t848,,,negative,6
t467 t535 t777 t593 t131 t848,,,negative,6
t467 t237 t555 t535 t372 t278,,,negative,6
t892 t278 t804 t217 t817 t363,,,negative,6
t466 t804 t30 t573 t777 t592,,,negative,6
t535 t593 t817 t593 t637 t593,,,negative,6
t535 t444 t467 t777 t817 t573,,,negative,6
t30 t37 t372 t372 t593 t363,,,negative,6
t535 t363 t278 t535 t892 t378,,,negative,6
t535 t217 t14 t640 t593 t848,,,negative,6
t98 t467 t217 t98 t14 t777 t640,,,negative,7
t593 t98 t777 t848 t217 t555 t467,,,negative,7
t237 t637 t30 t689 t372 t804 t30,,,negative,7
t444 t535 t892 t817 t593 t689 t892,,,negative,7
t98 t804 t363 t237 t573 t237 t444,,,negative,7
t535 t131 t892 t593 t278 t278 t278,,,negative,7
t372 t466 t593 t98 t555 t689 t466,,,negative,7
t444 t573 t372 t378 t640 t372 t535,,,negative,7
t689 t444 t555 t555 t278 t817 t689,,,negative,7
t592 t592 t555 t217 t444 t131 t573,,,negative,7
t593 t98 t278 t278 t592 t98 t378 t593,,,negative,8
t573 t98 t467 t378 t444 t37 t689 t37,,,negative,8
t573 t592 t131 t37 t804 t848 t363 t378,,,negative,8
t444 t466 t372 t593 t535 t466 t237 t777,,,negative,8
t593 t573 t131 t640 t592 t573 t363 t637,,,negative,8
t593 t444 t237 t278 t14 t848 t592 t817,,,negative,8
t777 t848 t535 t689 t467 t30 t817 t378,,,negative,8
t217 t131 t30 t573 t444 t777 t817 t640,,,negative,8
t444 t592 t593 t30 t37 t378 t689 t555,,,negative,8
t237 t467 t535 t637 t363 t640 t637 t30,,,negative,8
t777 t98 t98 t444 t278 t892 t444 t98 t777,,,negative,9
t640 t593 t98 t689 t640 t535 t777 t363 t592,,,negative,9
t848 t14 t804 t30 t217 t535 t573 t98 t14,,,negative,9
t466 t131 t278 t640 t14 t467 t637 t592 t237,,,negative,9
t777 t848 t466 t363 t30 t637 t466 t98 t555,,,negative,9
t131 t98 t14 t637 t30 t592 t378 t535 t378,,,negative,9
t592 t278 t378 t593 t30 t98 t689 t131 t804,,,negative,9
t637 t444 t378 t278 t637 t237 t804 t237 t804,,,negative,9
t217 t592 t637 t444 t689 t592 t466 t777 t689,,,negative,9
t217 t637 t555 t14 t466 t363 t535 t363 t37,,,negative,9
t131 t555 t363 t573 t237 t892 t535 t466 t378 t640,,,negative,10
t98 t804 t217 t372 t278 t637 t237 t467 t593 t640,,,negative,10
t804 t637 t892 t804 t237 t593 t30 t467 t689 t593,,,negative,10
t555 t278 t593 t372 t237 t444 t573 t555 t37 t593,,,negative,10
t555 t363 t278 t640 t37 t592 t535 t817 t14 t372,,,negative,10
t592 t378 t444 t444 t535 t237 t444 t892 t892 t30,,,negative,10
t555 t689 t237 t372 t378 t535 t467 t30 t30 t467,,,negative,10
t14 t37 t592 t372 t131 t378 t689 t278 t278 t237,,,negative,10
t237 t14 t378 t848 t592 t892 t640 t555 t131 t363,,,negative,10
t37 t30 t892 t30 t237 t593 t777 t593 t777 t555,,,negative,10
t217 t278 t535 t98 t637 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t37 t98 t637 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t535 t98 t637 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t37 t98 t573 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t535 t98 t573 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t37 t98 t637 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t37 t98 t573 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t217 t278 t535 t98 t573 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,11
t817 t98 t217 t131 t555 t892 t444 t372 t30 t98 t363,,,negative,11
t372 t98 t804 t466 t592 t467 t98 t278 t131 t466 t444,,,negative,11
t217 t467 t466 t817 t98 t593 t804 t804 t363 t466 t592,,,negative,11
t573 t98 t466 t217 t637 t640 t372 t848 t14 t689 t637,,,negative,11
t98 t892 t131 t30 t278 t593 t535 t640 t777 t30 t817,,,negative,11
t593 t444 t217 t30 t467 t637 t593 t30 t535 t30 t892,,,negative,11
t804 t363 t98 t37 t573 t640 t573 t848 t593 t98 t592,,,negative,11
t804 t14 t363 t14 t444 t278 t14 t378 t467 t363 t848,,,negative,11
t637 t535 t131 t467 t593 t444 t804 t466 t37 t804 t817,,,negative,11
