sample,parse_depth,type,length
t5,,negative,1
t19,,negative,1
t56,,negative,1
t93,,negative,1
t22,,negative,1
t88,,negative,1
t43,,negative,1
t52,,negative,1
t8,,negative,1
t85,,negative,1
t87 t88,2.0,positive,2
t92 t92,,negative,2
t43 t91,,negative,2
t11 t82,,negative,2
t92 t72,,negative,2
t71 t59,,negative,2
t55 t46,,negative,2
t98 t6,,negative,2
t19 t1,,negative,2
t56 t76,,negative,2
t85 t17,,negative,2
t71 t55 t52,3.0,positive,3
t71 t55 t56,3.0,positive,3
t71 t55 t76,3.0,positive,3
t71 t55 t93,3.0,positive,3
t92 t93 t72,,negative,3
t82 t8 t74,,negative,3
t55 t74 t70,,negative,3
t46 t43 t73,,negative,3
t31 t46 t98,,negative,3
t73 t80 t59,,negative,3
t46 t20 t17,,negative,3
t98 t0 t82,,negative,3
t1 t73 t22,,negative,3
t92 t56 t19,,negative,3
t9 t98 t26 t56,4.0,positive,4
t9 t98 t92 t56,4.0,positive,4
t9 t98 t46 t56,4.0,positive,4
t71 t73 t56 t93,4.0,positive,4
t71 t73 t56 t52,4.0,positive,4
t71 t73 t56 t56,4.0,positive,4
t71 t73 t56 t76,4.0,positive,4
t22 t72 t87 t74,,negative,4
t45 t70 t87 t72,,negative,4
t9 t31 t72 t52,,negative,4
t91 t1 t91 t0,,negative,4
t76 t82 t29 t29,,negative,4
t93 t45 t43 t11,,negative,4
t1 t92 t87 t88,,negative,4
t1 t82 t71 t92,,negative,4
t6 t72 t9 t73,,negative,4
t22 t0 t16 t71,,negative,4
t22 t70 t98 t92 t56,4.0,positive,5
t22 t70 t98 t46 t56,4.0,positive,5
t22 t70 t98 t26 t56,4.0,positive,5
t59 t76 t7 t43 t80,,negative,5
t18 t1 t98 t26 t85,,negative,5
t14 t59 t74 t73 t88,,negative,5
t91 t98 t87 t43 t55,,negative,5
t18 t14 t76 t88 t11,,negative,5
t91 t9 t93 t46 t82,,negative,5
t82 t6 t38 t1 t43,,negative,5
t17 t22 t71 t22 t93,,negative,5
t52 t7 t80 t29 t20,,negative,5
t88 t46 t73 t18 t8,,negative,5
t7 t20 t74 t98 t92 t56,5.0,positive,6
t9 t73 t18 t19 t26 t56,6.0,positive,6
t9 t73 t18 t19 t92 t56,6.0,positive,6
t9 t73 t18 t14 t92 t56,6.0,positive,6
t9 t73 t18 t14 t46 t56,6.0,positive,6
t7 t26 t74 t98 t26 t56,5.0,positive,6
t7 t26 t74 t98 t92 t56,5.0,positive,6
t7 t20 t74 t98 t26 t56,5.0,positive,6
t7 t20 t74 t98 t46 t56,5.0,positive,6
t7 t26 t74 t98 t46 t56,5.0,positive,6
t91 t93 t73 t59 t19 t91,,negative,6
t59 t19 t91 t9 t71 t74,,negative,6
t8 t59 t45 t70 t22 t16,,negative,6
t70 t31 t5 t9 t93 t14,,negative,6
t52 t14 t11 t59 t0 t52,,negative,6
