sample,parse_depth,type,length
t37,,negative,1
t51,,negative,1
t47,,negative,1
t35,,negative,1
t58,,negative,1
t31,,negative,1
t41,,negative,1
t8,,negative,1
t24,,negative,1
t32,,negative,1
t59 t15,2.0,positive,2
t53 t22,2.0,positive,2
t37 t15,2.0,positive,2
t24 t45,2.0,positive,2
t24 t48,2.0,positive,2
t0 t29,2.0,positive,2
t24 t15,2.0,positive,2
t24 t55,2.0,positive,2
t0 t45,2.0,positive,2
t59 t29,2.0,positive,2
t2 t0,,negative,2
t47 t31,,negative,2
t7 t22,,negative,2
t36 t38,,negative,2
t0 t43,,negative,2
t20 t24,,negative,2
t7 t2,,negative,2
t3 t8,,negative,2
t45 t18,,negative,2
t3 t50,,negative,2
t39 t50 t45,3.0,positive,3
t59 t50 t31,3.0,positive,3
t26 t25 t21,3.0,positive,3
t24 t35 t44,3.0,positive,3
t4 t32 t55,3.0,positive,3
t44 t29 t57,3.0,positive,3
t56 t54 t29,3.0,positive,3
t47 t11 t55,3.0,positive,3
t39 t4 t48,3.0,positive,3
t1 t43 t36,3.0,positive,3
t27 t7 t26,,negative,3
t11 t54 t27,,negative,3
t59 t3 t55,,negative,3
t16 t40 t28,,negative,3
t28 t27 t27,,negative,3
t12 t10 t51,,negative,3
t25 t56 t3,,negative,3
t10 t36 t3,,negative,3
t35 t3 t15,,negative,3
t51 t10 t16,,negative,3
t11 t37 t3 t16,3.0,positive,4
t28 t0 t8 t59,4.0,positive,4
t7 t50 t24 t57,4.0,positive,4
t24 t43 t28 t1,4.0,positive,4
t24 t40 t56 t20,4.0,positive,4
t26 t7 t7 t44,4.0,positive,4
t21 t2 t56 t57,4.0,positive,4
t0 t7 t11 t26,4.0,positive,4
t48 t11 t49 t48,4.0,positive,4
t49 t19 t56 t32,4.0,positive,4
t49 t38 t51 t2,,negative,4
t41 t32 t20 t22,,negative,4
t34 t12 t25 t35,,negative,4
t1 t47 t7 t22,,negative,4
t1 t28 t27 t29,,negative,4
t3 t19 t33 t0,,negative,4
t31 t36 t22 t51,,negative,4
t24 t11 t57 t47,,negative,4
t2 t29 t22 t18,,negative,4
t21 t41 t8 t40,,negative,4
t1 t18 t54 t33 t44,5.0,positive,5
t16 t54 t7 t16 t33,4.0,positive,5
t24 t50 t4 t18 t20,4.0,positive,5
t0 t43 t16 t32 t26,5.0,positive,5
t55 t45 t2 t32 t48,5.0,positive,5
t48 t49 t2 t16 t49,4.0,positive,5
t53 t23 t11 t29 t20,5.0,positive,5
t45 t34 t7 t21 t16,4.0,positive,5
t49 t43 t0 t27 t15,5.0,positive,5
t47 t48 t11 t45 t45,4.0,positive,5
t49 t34 t59 t55 t10,,negative,5
t16 t32 t56 t58 t21,,negative,5
t26 t50 t58 t0 t59,,negative,5
t48 t29 t50 t21 t39,,negative,5
t34 t44 t29 t40 t31,,negative,5
t19 t18 t54 t12 t43,,negative,5
t58 t17 t41 t59 t8,,negative,5
t16 t33 t57 t38 t37,,negative,5
t21 t37 t41 t47 t20,,negative,5
t59 t53 t39 t50 t25,,negative,5
t45 t44 t11 t44 t48 t33,6.0,positive,6
t35 t24 t27 t26 t32 t45,6.0,positive,6
t10 t56 t26 t21 t55 t15,5.0,positive,6
t59 t40 t27 t57 t21 t20,6.0,positive,6
t41 t51 t37 t35 t0 t45,6.0,positive,6
t8 t47 t29 t22 t32 t45,5.0,positive,6
t33 t27 t8 t17 t37 t15,6.0,positive,6
t35 t16 t1 t2 t29 t48,6.0,positive,6
t16 t11 t26 t45 t2 t33,5.0,positive,6
t10 t7 t36 t54 t7 t31,4.0,positive,6
t21 t7 t57 t41 t57 t49,,negative,6
t17 t27 t19 t44 t31 t21,,negative,6
t58 t12 t4 t39 t43 t45,,negative,6
t36 t43 t4 t31 t24 t40,,negative,6
t24 t53 t31 t8 t3 t59,,negative,6
t40 t11 t22 t23 t55 t50,,negative,6
t41 t12 t24 t56 t53 t37,,negative,6
t16 t53 t56 t22 t34 t57,,negative,6
t19 t1 t40 t2 t36 t23,,negative,6
t35 t36 t20 t29 t56 t11,,negative,6
t41 t34 t35 t7 t37 t45 t35,5.0,positive,7
t57 t20 t4 t53 t25 t50 t0,6.0,positive,7
t45 t26 t3 t45 t15 t3 t23,6.0,positive,7
t48 t8 t16 t21 t28 t27 t15,6.0,positive,7
t49 t33 t38 t27 t24 t20 t59,6.0,positive,7
t55 t58 t11 t29 t37 t49 t16,5.0,positive,7
t16 t21 t7 t24 t2 t33 t33,6.0,positive,7
t0 t23 t32 t15 t8 t8 t4,5.0,positive,7
t31 t29 t27 t56 t37 t17 t28,5.0,positive,7
t1 t48 t59 t47 t31 t7 t26,6.0,positive,7
t47 t56 t47 t43 t35 t35 t40,,negative,7
t55 t50 t41 t37 t11 t12 t22,,negative,7
t45 t37 t47 t17 t15 t19 t0,,negative,7
t39 t50 t22 t39 t8 t41 t58,,negative,7
t21 t49 t10 t35 t17 t20 t57,,negative,7
t3 t59 t18 t32 t41 t23 t53,,negative,7
t15 t23 t1 t44 t38 t57 t58,,negative,7
t24 t10 t47 t43 t58 t44 t53,,negative,7
t3 t58 t26 t3 t50 t17 t38,,negative,7
t16 t1 t43 t17 t44 t38 t56,,negative,7
t33 t59 t24 t0 t50 t24 t55 t33,6.0,positive,8
t41 t34 t48 t16 t16 t31 t12 t38,6.0,positive,8
t0 t25 t23 t26 t21 t35 t49 t48,8.0,positive,8
t10 t56 t45 t16 t27 t16 t51 t45,6.0,positive,8
t56 t56 t11 t24 t53 t26 t57 t35,5.0,positive,8
t37 t12 t8 t45 t35 t40 t34 t22,5.0,positive,8
t47 t50 t12 t57 t24 t27 t29 t38,7.0,positive,8
t24 t27 t16 t17 t21 t26 t50 t33,6.0,positive,8
t27 t34 t15 t56 t48 t33 t8 t35,7.0,positive,8
t50 t7 t8 t4 t43 t33 t21 t38,5.0,positive,8
t45 t38 t21 t11 t25 t38 t37 t59,,negative,8
t26 t1 t56 t57 t29 t43 t55 t28,,negative,8
t36 t22 t27 t58 t43 t38 t31 t0,,negative,8
t33 t55 t38 t23 t1 t7 t36 t51,,negative,8
t55 t53 t41 t44 t41 t8 t54 t29,,negative,8
t50 t37 t40 t16 t51 t35 t15 t16,,negative,8
t47 t24 t47 t50 t3 t44 t7 t16,,negative,8
t32 t20 t3 t57 t15 t34 t32 t54,,negative,8
t58 t3 t12 t53 t57 t28 t25 t0,,negative,8
t15 t21 t4 t17 t18 t10 t43 t8,,negative,8
t53 t25 t27 t56 t20 t37 t43 t50 t53,8.0,positive,9
t50 t24 t7 t37 t22 t49 t34 t21 t15,7.0,positive,9
t0 t35 t0 t53 t7 t28 t54 t2 t45,8.0,positive,9
t1 t25 t17 t28 t57 t0 t19 t51 t59,6.0,positive,9
t40 t0 t50 t26 t56 t57 t1 t37 t18,7.0,positive,9
t53 t11 t59 t36 t59 t50 t50 t37 t37,8.0,positive,9
t49 t36 t29 t20 t23 t0 t0 t0 t48,8.0,positive,9
t37 t16 t21 t24 t7 t50 t24 t53 t26,8.0,positive,9
t18 t39 t33 t26 t15 t24 t16 t37 t33,9.0,positive,9
t49 t26 t11 t33 t27 t0 t48 t12 t24,7.0,positive,9
t32 t15 t31 t18 t33 t20 t49 t48 t16,,negative,9
t48 t25 t51 t33 t26 t43 t49 t8 t39,,negative,9
t45 t11 t21 t27 t34 t49 t38 t51 t18,,negative,9
t33 t24 t17 t2 t0 t15 t58 t51 t25,,negative,9
t57 t38 t3 t0 t0 t51 t21 t1 t39,,negative,9
t35 t33 t18 t54 t48 t45 t58 t57 t4,,negative,9
t24 t7 t23 t58 t21 t20 t33 t59 t10,,negative,9
t47 t12 t45 t7 t54 t29 t58 t36 t47,,negative,9
t31 t11 t50 t32 t22 t0 t54 t23 t38,,negative,9
t3 t57 t34 t2 t38 t57 t16 t55 t28,,negative,9
t1 t10 t1 t59 t7 t57 t28 t0 t7 t32,8.0,positive,10
t33 t24 t50 t32 t40 t12 t0 t24 t48 t59,7.0,positive,10
t27 t59 t50 t50 t25 t4 t11 t26 t27 t24,8.0,positive,10
t48 t56 t57 t54 t24 t25 t0 t0 t57 t15,9.0,positive,10
t45 t48 t49 t43 t20 t34 t37 t24 t2 t26,10.0,positive,10
t37 t0 t24 t21 t45 t34 t36 t26 t27 t44,9.0,positive,10
t51 t28 t16 t21 t51 t0 t32 t56 t35 t31,9.0,positive,10
t37 t27 t29 t21 t40 t16 t32 t25 t59 t50,6.0,positive,10
t26 t7 t16 t8 t26 t26 t37 t19 t11 t26,8.0,positive,10
t45 t27 t33 t33 t54 t28 t22 t20 t26 t15,6.0,positive,10
t34 t29 t43 t17 t44 t8 t37 t56 t16 t58,,negative,10
t8 t26 t27 t28 t41 t58 t40 t57 t51 t34,,negative,10
t59 t36 t24 t48 t8 t32 t18 t58 t36 t48,,negative,10
t38 t54 t34 t49 t55 t11 t48 t35 t47 t11,,negative,10
t3 t50 t59 t2 t44 t17 t19 t43 t31 t19,,negative,10
t33 t21 t45 t38 t1 t22 t32 t12 t40 t20,,negative,10
t19 t37 t40 t40 t27 t16 t20 t37 t31 t47,,negative,10
t26 t54 t50 t47 t45 t0 t19 t8 t3 t51,,negative,10
t32 t12 t15 t37 t45 t2 t58 t32 t58 t47,,negative,10
t38 t8 t43 t28 t12 t36 t20 t58 t2 t50,,negative,10
t47 t41 t2 t48 t11 t33 t48 t21 t47 t20 t2,7.0,positive,11
t35 t26 t24 t19 t43 t29 t17 t2 t49 t47 t38,7.0,positive,11
t0 t24 t19 t56 t7 t56 t55 t44 t44 t7 t27,8.0,positive,11
t53 t11 t0 t51 t31 t3 t34 t57 t20 t21 t26,9.0,positive,11
t0 t33 t21 t35 t39 t21 t26 t1 t50 t12 t45,10.0,positive,11
t35 t21 t37 t25 t0 t35 t0 t37 t47 t48 t26,9.0,positive,11
t24 t45 t38 t29 t27 t26 t20 t11 t35 t0 t47,7.0,positive,11
t22 t47 t35 t54 t16 t34 t24 t58 t0 t16 t45,7.0,positive,11
t44 t40 t37 t7 t8 t1 t48 t54 t28 t29 t29,7.0,positive,11
t2 t2 t0 t28 t56 t35 t55 t20 t59 t26 t57,8.0,positive,11
t54 t45 t25 t1 t8 t20 t27 t7 t28 t1 t8,,negative,11
t31 t35 t21 t37 t37 t43 t32 t25 t29 t44 t36,,negative,11
t35 t31 t38 t1 t11 t20 t1 t8 t33 t35 t29,,negative,11
t17 t19 t4 t55 t28 t21 t16 t51 t19 t1 t23,,negative,11
t19 t32 t56 t20 t24 t22 t17 t28 t15 t15 t35,,negative,11
t34 t50 t39 t10 t21 t35 t43 t31 t1 t21 t50,,negative,11
t58 t55 t43 t40 t2 t56 t29 t25 t58 t44 t29,,negative,11
t50 t26 t12 t12 t36 t34 t11 t35 t58 t23 t25,,negative,11
t19 t12 t16 t16 t27 t27 t33 t50 t28 t40 t31,,negative,11
t17 t56 t19 t31 t12 t34 t58 t55 t21 t48 t7,,negative,11
t21 t38 t50 t23 t12 t0 t26 t56 t37 t35 t55 t22,9.0,positive,12
t33 t33 t45 t49 t11 t28 t24 t43 t40 t21 t40 t16,7.0,positive,12
t47 t26 t26 t33 t12 t19 t7 t40 t45 t20 t16 t26,10.0,positive,12
t26 t36 t40 t26 t23 t51 t0 t22 t24 t59 t50 t45,8.0,positive,12
t39 t41 t33 t53 t18 t21 t57 t59 t53 t49 t0 t15,10.0,positive,12
t0 t48 t54 t29 t27 t23 t34 t49 t24 t33 t49 t15,7.0,positive,12
t27 t44 t23 t47 t35 t21 t33 t35 t48 t50 t50 t27,9.0,positive,12
t49 t24 t40 t32 t21 t0 t56 t21 t33 t8 t54 t24,8.0,positive,12
t26 t45 t21 t12 t35 t53 t21 t50 t47 t48 t49 t26,8.0,positive,12
t8 t2 t48 t49 t57 t32 t50 t56 t44 t16 t0 t29,8.0,positive,12
t50 t26 t37 t49 t55 t11 t49 t51 t34 t29 t7 t10,,negative,12
t35 t23 t27 t2 t0 t38 t34 t29 t58 t15 t21 t4,,negative,12
t2 t32 t10 t41 t4 t51 t2 t12 t12 t10 t22 t7,,negative,12
t53 t48 t20 t55 t28 t17 t1 t37 t12 t49 t20 t47,,negative,12
t15 t23 t27 t27 t43 t43 t33 t44 t41 t37 t19 t21,,negative,12
t48 t8 t43 t4 t31 t34 t27 t54 t44 t55 t50 t3,,negative,12
t45 t26 t17 t0 t39 t32 t26 t12 t37 t33 t3 t56,,negative,12
t54 t18 t3 t36 t24 t55 t28 t12 t22 t49 t44 t51,,negative,12
t41 t47 t27 t41 t59 t1 t15 t2 t11 t56 t58 t58,,negative,12
t28 t12 t7 t18 t47 t48 t55 t36 t8 t25 t12 t4,,negative,12
t57 t26 t11 t0 t12 t2 t1 t3 t44 t43 t56 t24 t36,9.0,positive,13
t18 t21 t50 t7 t32 t33 t53 t57 t57 t0 t54 t33 t0,8.0,positive,13
t55 t3 t24 t0 t48 t22 t16 t7 t32 t26 t59 t24 t26,10.0,positive,13
t49 t27 t26 t19 t0 t49 t7 t47 t2 t22 t8 t26 t26,9.0,positive,13
t16 t8 t17 t21 t3 t16 t33 t19 t20 t54 t21 t22 t48,11.0,positive,13
t28 t47 t53 t48 t59 t29 t33 t16 t21 t53 t22 t28 t28,10.0,positive,13
t4 t29 t16 t34 t56 t26 t54 t11 t1 t40 t56 t7 t28,9.0,positive,13
t57 t43 t16 t49 t40 t27 t29 t33 t33 t11 t28 t21 t50,9.0,positive,13
t45 t23 t48 t4 t3 t7 t32 t35 t17 t29 t57 t34 t24,9.0,positive,13
t45 t16 t17 t49 t37 t24 t10 t34 t23 t33 t7 t34 t35,8.0,positive,13
t53 t21 t36 t15 t32 t31 t40 t2 t40 t28 t25 t4 t24,,negative,13
t34 t37 t47 t36 t11 t49 t31 t57 t21 t48 t47 t29 t2,,negative,13
t19 t47 t43 t21 t45 t51 t33 t47 t18 t36 t58 t7 t40,,negative,13
t12 t0 t55 t37 t27 t22 t35 t22 t16 t54 t2 t15 t2,,negative,13
t45 t37 t31 t44 t49 t34 t41 t56 t20 t31 t59 t1 t40,,negative,13
t33 t51 t26 t0 t29 t55 t44 t57 t59 t58 t41 t4 t29,,negative,13
t26 t7 t0 t10 t27 t8 t23 t22 t8 t16 t38 t4 t4,,negative,13
t3 t8 t53 t51 t56 t57 t47 t15 t23 t53 t2 t1 t59,,negative,13
t58 t26 t15 t17 t23 t21 t12 t39 t35 t47 t55 t29 t59,,negative,13
t27 t18 t26 t2 t49 t57 t54 t7 t44 t41 t53 t32 t56,,negative,13
t48 t4 t37 t48 t2 t4 t21 t15 t4 t33 t39 t11 t29 t15,8.0,positive,14
t16 t49 t47 t48 t36 t4 t43 t8 t26 t50 t56 t33 t29 t55,7.0,positive,14
t15 t37 t4 t49 t1 t58 t37 t21 t16 t0 t18 t38 t37 t49,7.0,positive,14
t47 t39 t56 t25 t56 t15 t37 t59 t21 t0 t57 t34 t45 t22,11.0,positive,14
t1 t48 t31 t27 t7 t54 t26 t50 t24 t57 t21 t51 t12 t54,8.0,positive,14
t53 t48 t2 t49 t11 t33 t56 t33 t50 t4 t59 t24 t34 t23,10.0,positive,14
t41 t54 t20 t56 t44 t7 t35 t21 t0 t35 t2 t29 t7 t33,7.0,positive,14
t3 t16 t57 t50 t50 t0 t8 t1 t24 t10 t16 t34 t11 t50,7.0,positive,14
t56 t32 t40 t34 t20 t7 t19 t28 t20 t34 t0 t50 t59 t16,11.0,positive,14
