sample,parse_depth,type,length
t32,,negative,1
t102,,negative,1
t115,,negative,1
t20,,negative,1
t85,,negative,1
t34,,negative,1
t101,,negative,1
t42,,negative,1
t75,,negative,1
t63,,negative,1
t32 t42,,negative,2
t102 t63,,negative,2
t4 t75,,negative,2
t102 t102,,negative,2
t32 t85,,negative,2
t20 t20,,negative,2
t42 t20,,negative,2
t4 t4,,negative,2
t102 t34,,negative,2
t20 t42,,negative,2
t115 t34 t4,,negative,3
t20 t63 t32,,negative,3
t4 t42 t4,,negative,3
t102 t115 t115,,negative,3
t4 t20 t63,,negative,3
t75 t115 t20,,negative,3
t4 t101 t115,,negative,3
t42 t34 t101,,negative,3
t34 t4 t4,,negative,3
t85 t75 t101,,negative,3
t63 t4 t102 t85,3.0,positive,4
t115 t115 t75 t4,3.0,positive,4
t115 t115 t102 t4,3.0,positive,4
t63 t4 t102 t42,3.0,positive,4
t63 t4 t75 t42,3.0,positive,4
t63 t4 t75 t85,3.0,positive,4
t85 t115 t32 t115,,negative,4
t42 t101 t101 t34,,negative,4
t115 t75 t115 t101,,negative,4
t101 t75 t4 t85,,negative,4
t75 t20 t63 t32,,negative,4
t32 t63 t85 t42,,negative,4
t42 t4 t63 t75,,negative,4
t32 t115 t42 t42,,negative,4
t20 t85 t85 t85,,negative,4
t85 t34 t4 t115,,negative,4
t115 t115 t63 t102 t42,4.0,positive,5
t63 t4 t102 t102 t42,4.0,positive,5
t115 t115 t102 t4 t75,4.0,positive,5
t115 t115 t63 t75 t42,4.0,positive,5
t63 t4 t75 t102 t85,4.0,positive,5
t115 t115 t20 t63 t4,4.0,positive,5
t115 t115 t75 t4 t102,4.0,positive,5
t115 t115 t102 t4 t102,4.0,positive,5
t115 t4 t115 t75 t4,4.0,positive,5
t63 t4 t75 t75 t85,4.0,positive,5
t115 t101 t102 t102 t115,,negative,5
t20 t34 t20 t63 t4,,negative,5
t20 t63 t115 t102 t115,,negative,5
t34 t20 t4 t32 t101,,negative,5
t34 t115 t4 t75 t42,,negative,5
t32 t4 t32 t101 t42,,negative,5
t42 t101 t20 t4 t85,,negative,5
t63 t32 t102 t34 t63,,negative,5
t85 t75 t115 t102 t32,,negative,5
t101 t85 t115 t102 t115,,negative,5
t115 t115 t4 t75 t75 t4,5.0,positive,6
t63 t4 t75 t85 t75 t42,4.0,positive,6
t115 t115 t75 t32 t63 t4,5.0,positive,6
t20 t63 t63 t4 t75 t4,5.0,positive,6
t20 t75 t85 t4 t102 t4,5.0,positive,6
t115 t4 t75 t115 t102 t4,5.0,positive,6
t20 t102 t85 t4 t102 t4,5.0,positive,6
t63 t32 t63 t4 t102 t85,5.0,positive,6
t20 t75 t42 t4 t75 t4,5.0,positive,6
t115 t115 t4 t20 t63 t4,5.0,positive,6
t115 t75 t4 t85 t85 t85,,negative,6
t115 t115 t63 t20 t102 t34,,negative,6
t4 t4 t115 t20 t42 t101,,negative,6
t85 t4 t85 t85 t34 t101,,negative,6
t20 t42 t63 t85 t34 t42,,negative,6
t85 t42 t20 t42 t75 t32,,negative,6
t63 t32 t115 t85 t4 t34,,negative,6
t63 t42 t101 t115 t102 t101,,negative,6
t42 t115 t102 t115 t75 t75,,negative,6
t85 t75 t63 t101 t20 t20,,negative,6
t20 t63 t4 t102 t85 t75 t4,6.0,positive,7
t115 t115 t4 t102 t4 t75 t75,5.0,positive,7
t20 t102 t42 t4 t75 t4 t102,5.0,positive,7
t115 t42 t32 t42 t75 t20 t4,,negative,7
t115 t34 t42 t85 t75 t102 t32,,negative,7
t34 t34 t85 t63 t115 t63 t75,,negative,7
t42 t20 t34 t42 t34 t102 t20,,negative,7
t115 t4 t101 t4 t75 t42 t42,,negative,7
t101 t34 t4 t32 t4 t115 t102,,negative,7
t20 t75 t63 t34 t20 t115 t101,,negative,7
t20 t42 t101 t32 t32 t115 t42,,negative,7
t63 t32 t85 t4 t34 t34 t20,,negative,7
t63 t115 t115 t63 t115 t34 t42,,negative,7
t20 t42 t102 t4 t32 t20 t63 t4,7.0,positive,8
t63 t4 t75 t42 t63 t115 t115 t85,6.0,positive,8
t20 t63 t4 t85 t63 t20 t63 t4,7.0,positive,8
t42 t101 t63 t63 t75 t115 t20 t32,,negative,8
t101 t101 t102 t34 t4 t101 t20 t101,,negative,8
t85 t101 t4 t34 t32 t101 t4 t101,,negative,8
t34 t85 t34 t32 t42 t75 t75 t101,,negative,8
t32 t102 t75 t75 t4 t42 t20 t4,,negative,8
t4 t4 t102 t20 t102 t102 t20 t4,,negative,8
t101 t75 t4 t32 t34 t63 t42 t63,,negative,8
t34 t34 t4 t115 t102 t34 t85 t4,,negative,8
t75 t32 t4 t34 t75 t85 t63 t20,,negative,8
t63 t102 t75 t115 t20 t85 t20 t115,,negative,8
t75 t63 t4 t42 t32 t34 t32 t34 t20,,negative,9
t20 t4 t115 t42 t42 t101 t42 t63 t20,,negative,9
t32 t75 t85 t85 t115 t42 t115 t4 t115,,negative,9
t20 t85 t20 t32 t4 t85 t42 t115 t34,,negative,9
t63 t32 t101 t34 t75 t101 t102 t101 t63,,negative,9
t42 t102 t42 t115 t4 t34 t34 t34 t75,,negative,9
t102 t20 t20 t4 t20 t34 t32 t85 t32,,negative,9
t34 t34 t102 t42 t102 t102 t63 t34 t101,,negative,9
t4 t4 t63 t42 t101 t102 t4 t20 t115,,negative,9
t115 t20 t32 t34 t4 t75 t102 t42 t63,,negative,9
t32 t32 t32 t115 t75 t20 t101 t102 t63 t85,,negative,10
t4 t115 t75 t34 t63 t85 t32 t34 t115 t85,,negative,10
t115 t101 t42 t102 t102 t42 t101 t4 t4 t32,,negative,10
t63 t101 t32 t4 t102 t32 t75 t75 t20 t42,,negative,10
