sample,parse_depth,type,length
t73,,negative,1
t65,,negative,1
t70,,negative,1
t17,,negative,1
t82,,negative,1
t12,,negative,1
t26,,negative,1
t39,,negative,1
t48,,negative,1
t29,,negative,1
t95 t48,2.0,positive,2
t77 t12,2.0,positive,2
t77 t95,2.0,positive,2
t12 t48,2.0,positive,2
t26 t53,,negative,2
t73 t53,,negative,2
t65 t66,,negative,2
t17 t70,,negative,2
t53 t53,,negative,2
t12 t12,,negative,2
t65 t77,,negative,2
t66 t81,,negative,2
t82 t16,,negative,2
t39 t16,,negative,2
t95 t17 t26,3.0,positive,3
t73 t65 t12,3.0,positive,3
t77 t61 t48,3.0,positive,3
t95 t17 t65,3.0,positive,3
t95 t65 t65,3.0,positive,3
t73 t82 t12,3.0,positive,3
t95 t65 t12,3.0,positive,3
t95 t82 t95,3.0,positive,3
t43 t82 t12,3.0,positive,3
t12 t82 t95,3.0,positive,3
t29 t66 t73,,negative,3
t16 t26 t73,,negative,3
t43 t81 t40,,negative,3
t70 t39 t39,,negative,3
t19 t66 t66,,negative,3
t48 t39 t73,,negative,3
t66 t73 t16,,negative,3
t48 t43 t82,,negative,3
t81 t73 t12,,negative,3
t77 t95 t40,,negative,3
t61 t17 t65 t48,4.0,positive,4
t48 t73 t48 t48,4.0,positive,4
t70 t48 t82 t12,4.0,positive,4
t65 t61 t48 t48,4.0,positive,4
t12 t17 t53 t81,4.0,positive,4
t70 t48 t65 t95,4.0,positive,4
t61 t48 t65 t26,3.0,positive,4
t65 t65 t70 t95,4.0,positive,4
t26 t61 t48 t48,4.0,positive,4
t73 t65 t61 t48,3.0,positive,4
t19 t61 t48 t29,,negative,4
t73 t61 t53 t40,,negative,4
t66 t48 t73 t16,,negative,4
t81 t82 t82 t17,,negative,4
t73 t77 t61 t70,,negative,4
t40 t82 t48 t43,,negative,4
t61 t19 t26 t53,,negative,4
t61 t70 t66 t26,,negative,4
t39 t17 t16 t26,,negative,4
t66 t70 t66 t82,,negative,4
t95 t82 t73 t39 t26,5.0,positive,5
t95 t82 t73 t65 t26,5.0,positive,5
t48 t53 t17 t26 t48,4.0,positive,5
t17 t65 t43 t48 t48,5.0,positive,5
t65 t61 t48 t65 t95,5.0,positive,5
t12 t65 t82 t17 t48,4.0,positive,5
t12 t82 t43 t65 t65,5.0,positive,5
t95 t17 t73 t17 t26,5.0,positive,5
t40 t65 t73 t65 t95,5.0,positive,5
t17 t26 t73 t48 t48,5.0,positive,5
t95 t65 t73 t48 t43,,negative,5
t73 t40 t81 t19 t73,,negative,5
t26 t12 t43 t39 t43,,negative,5
t65 t53 t53 t77 t95,,negative,5
t77 t17 t53 t82 t77,,negative,5
t61 t26 t29 t70 t26,,negative,5
t81 t95 t61 t26 t65,,negative,5
t29 t19 t66 t26 t77,,negative,5
t26 t61 t40 t29 t95,,negative,5
t12 t48 t29 t39 t29,,negative,5
t95 t65 t43 t17 t53 t81,6.0,positive,6
t40 t70 t65 t73 t65 t40,4.0,positive,6
t82 t53 t40 t65 t53 t95,5.0,positive,6
t40 t82 t43 t65 t73 t12,5.0,positive,6
t26 t26 t61 t48 t17 t65,5.0,positive,6
t53 t81 t82 t53 t65 t95,5.0,positive,6
t19 t17 t26 t40 t17 t40,5.0,positive,6
t43 t81 t48 t53 t48 t48,5.0,positive,6
t82 t53 t12 t48 t65 t26,5.0,positive,6
t82 t43 t12 t48 t65 t95,6.0,positive,6
t39 t95 t66 t95 t73 t82,,negative,6
t48 t19 t12 t29 t77 t19,,negative,6
t19 t66 t29 t53 t12 t70,,negative,6
t26 t16 t65 t12 t26 t66,,negative,6
t65 t70 t19 t40 t61 t29,,negative,6
t16 t53 t39 t66 t73 t65,,negative,6
t73 t65 t40 t16 t12 t61,,negative,6
t43 t77 t95 t82 t70 t19,,negative,6
t40 t81 t81 t16 t39 t40,,negative,6
