sample,parse_depth,type,length
t10,,negative,1
t4,,negative,1
t5,,negative,1
t9,,negative,1
t7,,negative,1
t0,,negative,1
t3,,negative,1
t8,,negative,1
t2,,negative,1
t11,,negative,1
t7 t11,,negative,2
t6 t11,,negative,2
t9 t6,,negative,2
t9 t1,,negative,2
t11 t7,,negative,2
t7 t3,,negative,2
t3 t11,,negative,2
t0 t2,,negative,2
t5 t0,,negative,2
t2 t3,,negative,2
t7 t0 t0,3.0,positive,3
t7 t7 t0,3.0,positive,3
t4 t7 t0,3.0,positive,3
t7 t7 t10,3.0,positive,3
t4 t7 t10,3.0,positive,3
t4 t11 t5,3.0,positive,3
t7 t0 t2,3.0,positive,3
t4 t0 t4,3.0,positive,3
t7 t7 t5,3.0,positive,3
t7 t0 t4,3.0,positive,3
t9 t1 t9,,negative,3
t6 t3 t5,,negative,3
t1 t10 t0,,negative,3
t6 t4 t0,,negative,3
t11 t11 t3,,negative,3
t6 t5 t11,,negative,3
t0 t9 t10,,negative,3
t5 t3 t8,,negative,3
t5 t11 t7,,negative,3
t11 t10 t6,,negative,3
t4 t10 t6 t5,4.0,positive,4
t4 t10 t6 t10,4.0,positive,4
t9 t2 t7 t0,3.0,positive,4
t4 t3 t10 t5,4.0,positive,4
t10 t6 t0 t0,3.0,positive,4
t9 t6 t0 t6,3.0,positive,4
t9 t2 t7 t10,3.0,positive,4
t7 t10 t6 t10,4.0,positive,4
t10 t2 t7 t10,3.0,positive,4
t10 t2 t7 t5,3.0,positive,4
t2 t6 t7 t2,,negative,4
t10 t3 t5 t10,,negative,4
t10 t7 t11 t5,,negative,4
t3 t10 t8 t8,,negative,4
t4 t2 t10 t5,,negative,4
t0 t9 t1 t8,,negative,4
t5 t2 t5 t0,,negative,4
t11 t10 t10 t2,,negative,4
t8 t6 t6 t11,,negative,4
t3 t8 t11 t11,,negative,4
t7 t11 t8 t0 t2,5.0,positive,5
t9 t2 t3 t10 t5,4.0,positive,5
t7 t10 t5 t7 t0,5.0,positive,5
t9 t9 t5 t10 t5,4.0,positive,5
t4 t9 t10 t8 t6,4.0,positive,5
t11 t0 t9 t0 t4,4.0,positive,5
t7 t0 t9 t0 t4,4.0,positive,5
t7 t0 t6 t7 t5,4.0,positive,5
t10 t6 t10 t10 t5,4.0,positive,5
t11 t0 t2 t7 t5,4.0,positive,5
t10 t4 t2 t5 t3,,negative,5
t3 t9 t11 t0 t2,,negative,5
t2 t3 t0 t0 t11,,negative,5
t2 t0 t9 t9 t7,,negative,5
t7 t2 t9 t11 t6,,negative,5
t5 t8 t6 t1 t2,,negative,5
t8 t10 t5 t6 t9,,negative,5
t8 t2 t8 t9 t7,,negative,5
t5 t7 t10 t10 t1,,negative,5
t3 t4 t9 t4 t10,,negative,5
t7 t9 t10 t8 t4 t2,5.0,positive,6
t7 t11 t7 t1 t4 t0,5.0,positive,6
t4 t9 t10 t8 t6 t4,5.0,positive,6
t11 t0 t9 t10 t10 t5,4.0,positive,6
t7 t11 t7 t8 t11 t6,6.0,positive,6
t7 t3 t10 t8 t6 t4,5.0,positive,6
t7 t11 t7 t1 t0 t2,5.0,positive,6
t4 t3 t5 t5 t5 t5,6.0,positive,6
t9 t2 t11 t2 t0 t6,5.0,positive,6
t4 t11 t2 t1 t4 t2,5.0,positive,6
t8 t0 t9 t7 t8 t10,,negative,6
t5 t3 t7 t4 t0 t6,,negative,6
t8 t11 t5 t9 t8 t11,,negative,6
t0 t0 t8 t2 t6 t4,,negative,6
t5 t7 t0 t9 t10 t2,,negative,6
t11 t8 t6 t5 t9 t10,,negative,6
t9 t9 t7 t6 t4 t1,,negative,6
t4 t1 t6 t9 t8 t0,,negative,6
t6 t0 t1 t1 t3 t5,,negative,6
t2 t3 t7 t9 t7 t4,,negative,6
t9 t6 t11 t2 t0 t6 t6,6.0,positive,7
t11 t0 t2 t11 t8 t0 t2,5.0,positive,7
t9 t2 t11 t2 t0 t4 t2,5.0,positive,7
t9 t2 t10 t10 t0 t8 t6,5.0,positive,7
t4 t5 t10 t0 t8 t0 t4,5.0,positive,7
t10 t6 t11 t7 t6 t0 t6,5.0,positive,7
t7 t10 t8 t4 t6 t7 t0,7.0,positive,7
t4 t10 t10 t7 t6 t6 t6,5.0,positive,7
t4 t10 t10 t2 t6 t6 t0,5.0,positive,7
t7 t10 t5 t7 t0 t9 t10,7.0,positive,7
t3 t4 t6 t0 t4 t8 t1,,negative,7
t4 t11 t4 t1 t7 t6 t7,,negative,7
t1 t9 t11 t8 t1 t1 t1,,negative,7
t6 t0 t0 t9 t7 t4 t9,,negative,7
t1 t2 t1 t5 t5 t3 t9,,negative,7
t11 t11 t0 t4 t6 t10 t9,,negative,7
t6 t9 t3 t5 t10 t7 t10,,negative,7
t1 t7 t3 t0 t7 t11 t0,,negative,7
t10 t1 t9 t10 t10 t9 t11,,negative,7
t10 t1 t5 t11 t9 t1 t4,,negative,7
t7 t10 t8 t0 t4 t9 t9 t10,7.0,positive,8
t9 t9 t3 t9 t8 t6 t5 t5,7.0,positive,8
t11 t0 t6 t5 t10 t8 t4 t4,5.0,positive,8
t9 t9 t9 t10 t7 t0 t6 t6,5.0,positive,8
t9 t2 t9 t10 t7 t6 t4 t2,5.0,positive,8
t9 t6 t10 t8 t6 t2 t7 t10,7.0,positive,8
t7 t10 t8 t4 t6 t9 t6 t10,7.0,positive,8
t10 t6 t3 t10 t7 t0 t0 t6,5.0,positive,8
t7 t11 t7 t8 t3 t10 t6 t6,7.0,positive,8
t3 t0 t2 t10 t5 t9 t6 t10,6.0,positive,8
t6 t3 t10 t11 t10 t6 t10 t2,,negative,8
t4 t5 t11 t1 t3 t3 t11 t8,,negative,8
t8 t0 t10 t4 t11 t6 t1 t6,,negative,8
t8 t11 t10 t0 t0 t11 t8 t1,,negative,8
t10 t2 t6 t5 t11 t5 t1 t10,,negative,8
t1 t6 t0 t8 t5 t11 t3 t5,,negative,8
t9 t6 t3 t11 t0 t5 t10 t10,,negative,8
t11 t7 t7 t5 t8 t4 t6 t6,,negative,8
t9 t9 t7 t9 t4 t4 t7 t11,,negative,8
t7 t7 t0 t3 t10 t8 t5 t11,,negative,8
t7 t5 t5 t7 t1 t6 t2 t5 t5,8.0,positive,9
t9 t2 t10 t9 t5 t5 t7 t6 t6,6.0,positive,9
t4 t3 t5 t8 t6 t5 t8 t0 t4,7.0,positive,9
t4 t10 t9 t8 t4 t2 t5 t8 t6,8.0,positive,9
t9 t6 t9 t10 t2 t8 t11 t6 t2,6.0,positive,9
t9 t9 t10 t3 t2 t1 t6 t7 t5,8.0,positive,9
t7 t0 t6 t11 t7 t8 t11 t4 t4,6.0,positive,9
t7 t0 t9 t10 t10 t2 t2 t6 t6,6.0,positive,9
t11 t0 t9 t10 t8 t4 t0 t7 t5,7.0,positive,9
t10 t9 t9 t9 t8 t4 t4 t5 t5,8.0,positive,9
t9 t3 t4 t8 t9 t2 t4 t8 t5,,negative,9
t0 t0 t5 t1 t0 t10 t6 t7 t10,,negative,9
t5 t4 t0 t2 t1 t6 t5 t7 t1,,negative,9
t4 t8 t2 t4 t0 t11 t4 t10 t7,,negative,9
t8 t4 t2 t1 t9 t6 t11 t10 t2,,negative,9
t8 t4 t1 t9 t2 t8 t6 t1 t3,,negative,9
t10 t8 t2 t7 t7 t4 t6 t11 t6,,negative,9
t7 t11 t1 t10 t7 t5 t4 t10 t8,,negative,9
t11 t7 t7 t3 t11 t1 t3 t5 t0,,negative,9
t8 t4 t3 t11 t6 t4 t6 t0 t2,,negative,9
t10 t2 t3 t5 t0 t7 t8 t11 t4 t6,6.0,positive,10
t4 t9 t5 t8 t0 t0 t5 t8 t0 t4,8.0,positive,10
t4 t9 t5 t8 t6 t5 t3 t2 t1 t6,7.0,positive,10
t4 t3 t3 t0 t7 t2 t0 t0 t11 t6,8.0,positive,10
t3 t0 t9 t10 t8 t6 t7 t0 t2 t0,7.0,positive,10
t10 t6 t11 t2 t0 t7 t1 t11 t6 t2,7.0,positive,10
t9 t9 t10 t3 t0 t0 t0 t2 t7 t5,8.0,positive,10
t4 t11 t3 t0 t8 t5 t5 t0 t4 t6,8.0,positive,10
t11 t0 t9 t10 t7 t1 t6 t10 t6 t5,7.0,positive,10
t9 t9 t11 t7 t2 t0 t0 t11 t6 t4,8.0,positive,10
t0 t2 t2 t8 t0 t11 t4 t7 t6 t11,,negative,10
t9 t4 t7 t4 t6 t11 t11 t9 t9 t6,,negative,10
t8 t8 t7 t11 t4 t3 t6 t5 t8 t8,,negative,10
t1 t11 t4 t6 t3 t1 t8 t3 t3 t11,,negative,10
t11 t11 t2 t7 t4 t6 t8 t11 t0 t5,,negative,10
t7 t8 t10 t5 t5 t3 t4 t2 t6 t2,,negative,10
t10 t5 t4 t10 t9 t10 t2 t2 t6 t2,,negative,10
t10 t10 t2 t11 t10 t8 t1 t4 t2 t5,,negative,10
t10 t1 t4 t8 t4 t0 t0 t4 t8 t6,,negative,10
t2 t4 t7 t0 t10 t5 t7 t5 t4 t9,,negative,10
t7 t5 t10 t2 t2 t7 t8 t11 t3 t10 t6,8.0,positive,11
t7 t0 t9 t9 t9 t0 t3 t0 t0 t4 t4,6.0,positive,11
t7 t0 t2 t10 t2 t2 t6 t6 t10 t6 t10,8.0,positive,11
t3 t0 t2 t10 t3 t2 t0 t6 t4 t7 t0,8.0,positive,11
