sample,mean_parse_height,num_parses,type,length
t101,,,negative,1
t111,,,negative,1
t107,,,negative,1
t136,,,negative,1
t194,,,negative,1
t93,,,negative,1
t79,,,negative,1
t105,,,negative,1
t64,,,negative,1
t115,,,negative,1
t184 t0,3.0,1.0,positive,2
t293 t46,,,negative,2
t93 t207,,,negative,2
t138 t199,,,negative,2
t222 t299,,,negative,2
t46 t67,,,negative,2
t73 t226,,,negative,2
t43 t78,,,negative,2
t124 t276,,,negative,2
t58 t65,,,negative,2
t59 t76,,,negative,2
t26 t122 t285,4.0,1.0,positive,3
t26 t143 t285,4.0,1.0,positive,3
t158 t143 t285,4.0,1.0,positive,3
t26 t194 t285,4.0,1.0,positive,3
t158 t122 t285,4.0,1.0,positive,3
t26 t199 t285,4.0,1.0,positive,3
t158 t199 t285,4.0,1.0,positive,3
t158 t194 t285,4.0,1.0,positive,3
t6 t296 t207,,,negative,3
t22 t161 t40,,,negative,3
t193 t56 t66,,,negative,3
t228 t2 t262,,,negative,3
t145 t13 t6,,,negative,3
t214 t99 t168,,,negative,3
t299 t70 t106,,,negative,3
t143 t220 t64,,,negative,3
t169 t76 t114,,,negative,3
t72 t95 t257,,,negative,3
t199 t289 t194 t285,4.0,1.0,positive,4
t199 t289 t143 t285,4.0,1.0,positive,4
t199 t115 t143 t285,4.0,1.0,positive,4
t199 t115 t122 t285,4.0,1.0,positive,4
t199 t289 t122 t285,4.0,1.0,positive,4
t199 t115 t199 t285,4.0,1.0,positive,4
t199 t115 t194 t285,4.0,1.0,positive,4
t199 t289 t199 t285,4.0,1.0,positive,4
t72 t31 t115 t62,,,negative,4
t120 t119 t212 t244,,,negative,4
t193 t285 t69 t15,,,negative,4
t164 t247 t136 t88,,,negative,4
t112 t262 t160 t176,,,negative,4
t229 t176 t49 t206,,,negative,4
t95 t216 t22 t293,,,negative,4
t41 t102 t296 t102,,,negative,4
t17 t95 t188 t43,,,negative,4
t71 t120 t104 t72,,,negative,4
t26 t232 t181 t299 t285,6.0,1.0,positive,5
t158 t235 t181 t299 t285,6.0,1.0,positive,5
t26 t235 t181 t280 t285,6.0,1.0,positive,5
t158 t232 t181 t299 t285,6.0,1.0,positive,5
t158 t219 t195 t44 t285,6.0,1.0,positive,5
t26 t232 t181 t280 t285,6.0,1.0,positive,5
t158 t235 t181 t280 t285,6.0,1.0,positive,5
t158 t232 t181 t280 t285,6.0,1.0,positive,5
t26 t219 t195 t44 t285,6.0,1.0,positive,5
t26 t235 t181 t299 t285,6.0,1.0,positive,5
t166 t61 t123 t119 t297,,,negative,5
t265 t118 t289 t269 t45,,,negative,5
t253 t149 t41 t163 t184,,,negative,5
t124 t95 t206 t210 t174,,,negative,5
t8 t264 t41 t2 t263,,,negative,5
