sample,parse_depth,type,length
t5,,negative,1
t1,,negative,1
t3,,negative,1
t2,,negative,1
t13,,negative,1
t4,,negative,1
t9,,negative,1
t7,,negative,1
t6,,negative,1
t0,,negative,1
t11 t14,2.0,positive,2
t11 t8,2.0,positive,2
t2 t5,,negative,2
t1 t5,,negative,2
t6 t12,,negative,2
t8 t3,,negative,2
t2 t10,,negative,2
t13 t11,,negative,2
t4 t7,,negative,2
t6 t4,,negative,2
t0 t0,,negative,2
t10 t13,,negative,2
t0 t6 t10,3.0,positive,3
t8 t6 t10,3.0,positive,3
t8 t4 t10,3.0,positive,3
t4 t9 t12,,negative,3
t5 t1 t13,,negative,3
t0 t2 t12,,negative,3
t3 t1 t0,,negative,3
t6 t13 t0,,negative,3
t8 t2 t11,,negative,3
t3 t11 t8,,negative,3
t8 t11 t0,,negative,3
t5 t12 t12,,negative,3
t0 t9 t11,,negative,3
t0 t9 t6 t10,4.0,positive,4
t6 t8 t10 t2,3.0,positive,4
t7 t3 t6 t10,4.0,positive,4
t10 t4 t10 t2,3.0,positive,4
t14 t7 t10 t2,3.0,positive,4
t8 t4 t7 t3,3.0,positive,4
t14 t4 t10 t2,3.0,positive,4
t0 t6 t7 t3,3.0,positive,4
t10 t7 t10 t2,3.0,positive,4
t14 t4 t13 t1,3.0,positive,4
t11 t0 t13 t2,,negative,4
t5 t7 t1 t5,,negative,4
t2 t4 t12 t5,,negative,4
t14 t1 t3 t13,,negative,4
t6 t1 t7 t12,,negative,4
t10 t9 t12 t1,,negative,4
t0 t5 t2 t4,,negative,4
t2 t6 t2 t3,,negative,4
t6 t11 t5 t1,,negative,4
t12 t11 t11 t8,,negative,4
t0 t3 t6 t14 t3,4.0,positive,5
t10 t11 t9 t10 t2,4.0,positive,5
t7 t9 t6 t11 t3,4.0,positive,5
t7 t9 t9 t10 t2,4.0,positive,5
t8 t6 t4 t11 t11,4.0,positive,5
t8 t4 t13 t11 t8,4.0,positive,5
t6 t8 t7 t6 t2,4.0,positive,5
t0 t6 t7 t11 t11,4.0,positive,5
t14 t7 t7 t6 t2,4.0,positive,5
t7 t5 t11 t4 t10,5.0,positive,5
t0 t13 t12 t12 t1,,negative,5
t11 t12 t0 t8 t8,,negative,5
t4 t3 t1 t9 t1,,negative,5
t9 t1 t8 t10 t2,,negative,5
t0 t1 t3 t9 t2,,negative,5
t0 t1 t0 t4 t12,,negative,5
t10 t4 t7 t8 t6,,negative,5
t1 t11 t14 t0 t14,,negative,5
t4 t11 t4 t14 t8,,negative,5
t2 t9 t12 t14 t0,,negative,5
t14 t11 t13 t7 t6 t2,4.0,positive,6
t0 t6 t4 t11 t7 t8,5.0,positive,6
t0 t3 t6 t7 t6 t11,4.0,positive,6
t8 t6 t3 t0 t9 t10,6.0,positive,6
t0 t6 t9 t10 t9 t4,5.0,positive,6
t11 t10 t6 t4 t13 t3,6.0,positive,6
t8 t2 t11 t7 t8 t10,6.0,positive,6
t10 t11 t12 t2 t10 t2,5.0,positive,6
t8 t4 t9 t11 t0 t8,5.0,positive,6
t0 t6 t3 t4 t4 t3,5.0,positive,6
t10 t5 t6 t9 t0 t2,,negative,6
