sample,mean_parse_height,num_parses,type,length
t64,,,negative,1
t59,,,negative,1
t171,,,negative,1
t28,,,negative,1
t170,,,negative,1
t21,,,negative,1
t185,,,negative,1
t173,,,negative,1
t112,,,negative,1
t83,,,negative,1
t111 t178,3.0,1.0,positive,2
t75 t178,3.0,1.0,positive,2
t111 t1,3.0,1.0,positive,2
t75 t1,3.0,1.0,positive,2
t120 t192,,,negative,2
t91 t9,,,negative,2
t197 t70,,,negative,2
t170 t170,,,negative,2
t155 t82,,,negative,2
t171 t44,,,negative,2
t2 t182,,,negative,2
t28 t120,,,negative,2
t41 t25,,,negative,2
t79 t64,,,negative,2
t111 t34 t115,,,negative,3
t69 t158 t182,,,negative,3
t194 t70 t181,,,negative,3
t140 t57 t92,,,negative,3
t179 t137 t30,,,negative,3
t158 t110 t28,,,negative,3
t70 t53 t43,,,negative,3
t137 t82 t55,,,negative,3
t110 t181 t114,,,negative,3
t91 t9 t115,,,negative,3
t111 t104 t120 t168,5.0,1.0,positive,4
t75 t104 t170 t168,5.0,1.0,positive,4
t75 t104 t170 t57,5.0,1.0,positive,4
t111 t104 t120 t57,5.0,1.0,positive,4
t111 t104 t170 t57,5.0,1.0,positive,4
t111 t104 t170 t168,5.0,1.0,positive,4
t75 t104 t120 t57,5.0,1.0,positive,4
t75 t104 t120 t168,5.0,1.0,positive,4
t159 t34 t101 t41,,,negative,4
t44 t192 t159 t81,,,negative,4
t150 t57 t146 t190,,,negative,4
t159 t28 t74 t112,,,negative,4
t34 t41 t194 t30,,,negative,4
t11 t85 t161 t146,,,negative,4
t2 t161 t146 t59,,,negative,4
t25 t79 t27 t197,,,negative,4
t97 t173 t143 t174,,,negative,4
t16 t137 t173 t183,,,negative,4
t111 t105 t149 t92 t168,6.0,1.0,positive,5
t75 t105 t149 t21 t57,6.0,1.0,positive,5
t111 t105 t132 t92 t168,6.0,1.0,positive,5
t111 t105 t132 t21 t168,6.0,1.0,positive,5
t111 t105 t149 t21 t168,6.0,1.0,positive,5
t75 t105 t149 t92 t57,6.0,1.0,positive,5
t75 t104 t170 t112 t53,5.0,1.0,positive,5
t111 t105 t149 t21 t57,6.0,1.0,positive,5
t75 t104 t120 t112 t70,5.0,1.0,positive,5
t75 t105 t132 t21 t57,6.0,1.0,positive,5
t91 t182 t53 t175 t111,,,negative,5
t34 t54 t16 t12 t171,,,negative,5
t64 t80 t161 t89 t111,,,negative,5
t82 t41 t38 t177 t114,,,negative,5
t74 t12 t92 t27 t132,,,negative,5
t173 t64 t112 t55 t85,,,negative,5
t75 t102 t81 t54 t150,,,negative,5
t104 t21 t104 t19 t80,,,negative,5
t91 t158 t153 t79 t28,,,negative,5
t182 t54 t27 t110 t141,,,negative,5
t111 t105 t149 t92 t112 t70,6.0,1.0,positive,6
t75 t105 t132 t21 t112 t53,6.0,1.0,positive,6
t75 t105 t183 t141 t92 t57,7.0,1.0,positive,6
t75 t104 t120 t112 t178 t69,6.0,1.0,positive,6
t75 t105 t149 t92 t112 t70,6.0,1.0,positive,6
t111 t105 t132 t114 t115 t57,7.0,1.0,positive,6
t111 t105 t149 t21 t112 t70,6.0,1.0,positive,6
t111 t104 t120 t112 t112 t2,6.0,1.0,positive,6
t75 t105 t149 t92 t112 t53,6.0,1.0,positive,6
t111 t105 t132 t143 t115 t57,7.0,1.0,positive,6
t131 t128 t16 t128 t34 t40,,,negative,6
t59 t75 t128 t21 t45 t174,,,negative,6
t28 t194 t69 t57 t85 t120,,,negative,6
t194 t171 t9 t125 t97 t131,,,negative,6
