sample,mean_parse_height,num_parses,type,length
t35,,,negative,1
t23,,,negative,1
t0,,,negative,1
t36,,,negative,1
t12,,,negative,1
t29,,,negative,1
t5,,,negative,1
t15,,,negative,1
t21,,,negative,1
t34,,,negative,1
t28 t15,3.0,1.0,positive,2
t39 t15,3.0,1.0,positive,2
t34 t12,3.0,1.0,positive,2
t34 t23,3.0,1.0,positive,2
t29 t12,3.0,1.0,positive,2
t29 t23,3.0,1.0,positive,2
t9 t39,,,negative,2
t38 t49,,,negative,2
t38 t5,,,negative,2
t34 t34,,,negative,2
t21 t35,,,negative,2
t31 t36,,,negative,2
t15 t15,,,negative,2
t49 t36,,,negative,2
t0 t8,,,negative,2
t9 t23,,,negative,2
t34 t5 t48,4.0,1.0,positive,3
t34 t5 t21,4.0,1.0,positive,3
t29 t5 t15,4.0,1.0,positive,3
t48 t6 t15,4.0,1.0,positive,3
t29 t36 t15,4.0,1.0,positive,3
t29 t36 t21,4.0,1.0,positive,3
t49 t36 t15,4.0,1.0,positive,3
t34 t5 t15,4.0,1.0,positive,3
t48 t10 t15,4.0,1.0,positive,3
t29 t5 t48,4.0,1.0,positive,3
t21 t10 t39,,,negative,3
t48 t40 t15,,,negative,3
t48 t39 t21,,,negative,3
t39 t0 t0,,,negative,3
t49 t21 t36,,,negative,3
t29 t35 t21,,,negative,3
t10 t0 t17,,,negative,3
t34 t40 t48,,,negative,3
t31 t17 t17,,,negative,3
t21 t12 t8,,,negative,3
t29 t5 t35 t5,5.0,1.0,positive,4
t29 t36 t35 t5,5.0,1.0,positive,4
t34 t36 t35 t5,5.0,1.0,positive,4
t34 t5 t35 t5,5.0,1.0,positive,4
t36 t15 t29 t35,,,negative,4
t17 t48 t31 t5,,,negative,4
t29 t36 t49 t12,,,negative,4
t12 t21 t29 t28,,,negative,4
t8 t12 t29 t34,,,negative,4
t6 t29 t6 t31,,,negative,4
t31 t12 t10 t15,,,negative,4
t6 t21 t17 t31,,,negative,4
t6 t36 t5 t0,,,negative,4
t9 t49 t39 t9,,,negative,4
t34 t36 t33 t15 t5,6.0,1.0,positive,5
t34 t5 t33 t15 t5,6.0,1.0,positive,5
t29 t5 t35 t38 t0,6.0,1.0,positive,5
t34 t5 t9 t15 t5,6.0,1.0,positive,5
t29 t5 t9 t15 t5,6.0,1.0,positive,5
t34 t36 t35 t38 t0,6.0,1.0,positive,5
t29 t36 t35 t38 t0,6.0,1.0,positive,5
t34 t36 t9 t15 t5,6.0,1.0,positive,5
t29 t36 t9 t15 t5,6.0,1.0,positive,5
t34 t5 t35 t38 t0,6.0,1.0,positive,5
t40 t23 t49 t21 t0,,,negative,5
t5 t17 t39 t5 t48,,,negative,5
t15 t5 t0 t23 t36,,,negative,5
t35 t38 t35 t40 t35,,,negative,5
t9 t6 t23 t29 t8,,,negative,5
t33 t10 t9 t12 t17,,,negative,5
t17 t48 t15 t12 t28,,,negative,5
t9 t36 t8 t33 t6,,,negative,5
t9 t49 t6 t9 t0,,,negative,5
t17 t33 t28 t29 t49,,,negative,5
t29 t36 t33 t15 t38 t0,6.0,1.0,positive,6
t29 t36 t35 t38 t40 t31,7.0,1.0,positive,6
t29 t36 t9 t15 t38 t0,6.0,1.0,positive,6
t29 t36 t35 t38 t8 t10,7.0,1.0,positive,6
t34 t5 t9 t15 t38 t0,6.0,1.0,positive,6
t29 t5 t33 t15 t38 t0,6.0,1.0,positive,6
t34 t36 t9 t15 t38 t0,6.0,1.0,positive,6
t34 t36 t35 t38 t40 t31,7.0,1.0,positive,6
t34 t5 t35 t38 t40 t31,7.0,1.0,positive,6
t34 t36 t35 t38 t8 t10,7.0,1.0,positive,6
t0 t40 t39 t15 t21 t48,,,negative,6
t6 t23 t38 t36 t23 t9,,,negative,6
t10 t5 t39 t34 t34 t31,,,negative,6
t23 t8 t28 t0 t29 t39,,,negative,6
t33 t0 t39 t34 t34 t8,,,negative,6
t40 t6 t36 t10 t12 t10,,,negative,6
t33 t31 t5 t36 t39 t38,,,negative,6
t21 t6 t8 t31 t17 t0,,,negative,6
t31 t35 t40 t39 t5 t23,,,negative,6
t15 t49 t39 t49 t6 t6,,,negative,6
t29 t36 t9 t15 t38 t40 t31,7.0,1.0,positive,7
t29 t5 t35 t38 t40 t21 t17,8.0,1.0,positive,7
t34 t5 t35 t38 t29 t29 t10,8.0,1.0,positive,7
t34 t36 t9 t15 t38 t8 t10,7.0,1.0,positive,7
t29 t5 t35 t38 t40 t15 t17,8.0,1.0,positive,7
t34 t36 t35 t38 t40 t21 t17,8.0,1.0,positive,7
t34 t36 t9 t15 t38 t40 t31,7.0,1.0,positive,7
t29 t36 t35 t38 t34 t29 t10,8.0,1.0,positive,7
t29 t36 t35 t38 t40 t15 t17,8.0,1.0,positive,7
t34 t5 t33 t15 t38 t40 t31,7.0,1.0,positive,7
t9 t29 t40 t17 t15 t12 t48,,,negative,7
t6 t40 t31 t28 t5 t15 t6,,,negative,7
t33 t17 t39 t39 t34 t38 t49,,,negative,7
t48 t15 t23 t39 t38 t10 t35,,,negative,7
t9 t0 t39 t38 t34 t31 t8,,,negative,7
t10 t21 t9 t49 t38 t28 t38,,,negative,7
t21 t31 t9 t34 t15 t5 t17,,,negative,7
t12 t28 t40 t39 t15 t17 t10,,,negative,7
t36 t28 t9 t33 t49 t8 t12,,,negative,7
t35 t9 t49 t10 t28 t23 t10,,,negative,7
t34 t36 t33 t15 t38 t40 t21 t17,8.0,1.0,positive,8
t29 t5 t9 t15 t38 t34 t29 t10,8.0,1.0,positive,8
t29 t36 t33 t15 t38 t34 t29 t10,8.0,1.0,positive,8
t29 t36 t35 t38 t40 t21 t17 t34,9.0,1.0,positive,8
t34 t36 t35 t38 t40 t21 t17 t5,9.0,1.0,positive,8
t34 t5 t35 t38 t40 t21 t17 t5,9.0,1.0,positive,8
t29 t36 t33 t15 t38 t40 t21 t17,8.0,1.0,positive,8
t34 t36 t35 t38 t40 t21 t17 t34,9.0,1.0,positive,8
t34 t36 t9 t15 t38 t29 t29 t10,8.0,1.0,positive,8
t29 t5 t35 t38 t40 t35 t5 t17,9.0,1.0,positive,8
t33 t38 t17 t34 t17 t15 t31 t21,,,negative,8
t10 t29 t8 t23 t48 t5 t33 t10,,,negative,8
t10 t38 t10 t23 t49 t49 t23 t9,,,negative,8
t38 t17 t21 t33 t17 t28 t9 t9,,,negative,8
t35 t8 t38 t31 t0 t31 t10 t38,,,negative,8
t8 t15 t0 t17 t48 t12 t29 t38,,,negative,8
t40 t38 t8 t34 t5 t0 t36 t34,,,negative,8
t15 t10 t10 t39 t21 t38 t17 t9,,,negative,8
t28 t5 t35 t6 t33 t29 t10 t29,,,negative,8
t6 t12 t38 t31 t34 t33 t10 t23,,,negative,8
t29 t5 t33 t15 t38 t40 t15 t17 t5,9.0,1.0,positive,9
t29 t36 t35 t38 t40 t35 t5 t17 t5,9.0,1.0,positive,9
t29 t36 t35 t38 t40 t33 t15 t5 t17,10.0,1.0,positive,9
t34 t5 t9 t15 t38 t40 t21 t17 t34,9.0,1.0,positive,9
t29 t36 t33 t15 t38 t40 t15 t17 t5,9.0,1.0,positive,9
t29 t36 t33 t15 t38 t40 t21 t17 t34,9.0,1.0,positive,9
t29 t36 t9 t15 t38 t40 t35 t5 t17,9.0,1.0,positive,9
t29 t5 t33 t15 t38 t40 t35 t5 t17,9.0,1.0,positive,9
t29 t36 t33 t15 t38 t40 t35 t5 t17,9.0,1.0,positive,9
t34 t5 t35 t38 t40 t35 t5 t17 t5,9.0,1.0,positive,9
t8 t0 t0 t33 t39 t29 t5 t33 t17,,,negative,9
t17 t40 t38 t12 t10 t33 t49 t5 t5,,,negative,9
t49 t15 t15 t31 t39 t29 t39 t49 t34,,,negative,9
t0 t23 t49 t49 t33 t35 t6 t15 t29,,,negative,9
t29 t8 t6 t28 t38 t0 t39 t33 t48,,,negative,9
t35 t17 t5 t8 t40 t36 t23 t12 t10,,,negative,9
t39 t35 t38 t33 t12 t35 t33 t0 t23,,,negative,9
t9 t34 t39 t38 t21 t8 t21 t21 t29,,,negative,9
t38 t36 t35 t35 t39 t15 t12 t15 t39,,,negative,9
t9 t17 t39 t12 t29 t28 t8 t9 t12,,,negative,9
t34 t36 t33 t15 t38 t40 t35 t5 t17 t5,9.0,1.0,positive,10
t29 t36 t35 t38 t40 t35 t38 t0 t17 t5,10.0,1.0,positive,10
t29 t5 t35 t38 t40 t9 t15 t5 t17 t5,10.0,1.0,positive,10
t34 t36 t35 t38 t40 t33 t15 t5 t17 t34,10.0,1.0,positive,10
t29 t36 t9 t15 t38 t40 t35 t38 t0 t17,10.0,1.0,positive,10
t29 t36 t35 t38 t40 t33 t15 t5 t17 t5,10.0,1.0,positive,10
t34 t36 t33 t15 t38 t40 t9 t15 t5 t17,10.0,1.0,positive,10
t34 t5 t35 t38 t40 t35 t38 t0 t17 t34,10.0,1.0,positive,10
t29 t5 t9 t15 t38 t40 t35 t5 t17 t5,9.0,1.0,positive,10
t29 t5 t35 t38 t40 t35 t38 t40 t31 t17,11.0,1.0,positive,10
