sample,mean_parse_height,num_parses,type,length
t74,,,negative,1
t55,,,negative,1
t8,,,negative,1
t26,,,negative,1
t25,,,negative,1
t27,,,negative,1
t82,,,negative,1
t79,,,negative,1
t95,,,negative,1
t46,,,negative,1
t64 t49,,,negative,2
t98 t4,,,negative,2
t87 t8,,,negative,2
t64 t87,,,negative,2
t96 t40,,,negative,2
t55 t26,,,negative,2
t7 t13,,,negative,2
t8 t40,,,negative,2
t53 t95,,,negative,2
t28 t92,,,negative,2
t25 t97 t46,4.0,1.0,positive,3
t25 t84 t46,4.0,1.0,positive,3
t83 t40 t82,,,negative,3
t7 t3 t98,,,negative,3
t82 t26 t64,,,negative,3
t7 t26 t53,,,negative,3
t63 t82 t26,,,negative,3
t27 t40 t83,,,negative,3
t9 t92 t39,,,negative,3
t3 t64 t76,,,negative,3
t95 t63 t13,,,negative,3
t87 t96 t79,,,negative,3
t25 t84 t40 t26,4.0,1.0,positive,4
t12 t3 t97 t46,5.0,1.0,positive,4
t25 t84 t40 t3,4.0,1.0,positive,4
t12 t3 t84 t46,5.0,1.0,positive,4
t25 t97 t55 t3,4.0,1.0,positive,4
t25 t97 t40 t26,4.0,1.0,positive,4
t25 t84 t55 t26,4.0,1.0,positive,4
t12 t26 t84 t46,5.0,1.0,positive,4
t25 t84 t55 t3,4.0,1.0,positive,4
t12 t26 t97 t46,5.0,1.0,positive,4
t28 t79 t12 t6,,,negative,4
t25 t87 t58 t64,,,negative,4
t7 t27 t95 t84,,,negative,4
t83 t14 t58 t6,,,negative,4
t9 t25 t67 t97,,,negative,4
t46 t74 t92 t14,,,negative,4
t27 t25 t12 t79,,,negative,4
t6 t26 t94 t96,,,negative,4
t87 t6 t22 t44,,,negative,4
t9 t63 t26 t64,,,negative,4
t12 t26 t97 t40 t26,5.0,1.0,positive,5
t12 t26 t84 t40 t3,5.0,1.0,positive,5
t12 t26 t97 t40 t3,5.0,1.0,positive,5
t12 t3 t84 t40 t26,5.0,1.0,positive,5
t12 t26 t97 t55 t3,5.0,1.0,positive,5
t12 t3 t84 t55 t3,5.0,1.0,positive,5
t25 t97 t36 t39 t26,5.0,1.0,positive,5
t25 t84 t36 t95 t3,5.0,1.0,positive,5
t12 t26 t84 t55 t3,5.0,1.0,positive,5
t12 t3 t97 t55 t3,5.0,1.0,positive,5
t55 t82 t96 t7 t22,,,negative,5
t40 t72 t63 t12 t97,,,negative,5
t9 t28 t49 t95 t12,,,negative,5
t64 t12 t25 t12 t87,,,negative,5
t58 t58 t63 t76 t58,,,negative,5
t83 t55 t26 t68 t40,,,negative,5
t8 t72 t44 t68 t7,,,negative,5
t7 t94 t64 t39 t25,,,negative,5
t6 t16 t14 t92 t64,,,negative,5
t70 t16 t83 t28 t46,,,negative,5
t12 t3 t97 t36 t95 t3,5.0,1.0,positive,6
t25 t97 t46 t82 t39 t26,6.0,1.0,positive,6
t12 t3 t97 t36 t39 t3,5.0,1.0,positive,6
t25 t97 t46 t82 t39 t3,6.0,1.0,positive,6
t25 t84 t46 t82 t39 t3,6.0,1.0,positive,6
t25 t97 t46 t82 t95 t3,6.0,1.0,positive,6
t12 t26 t97 t36 t39 t26,5.0,1.0,positive,6
t12 t3 t84 t36 t39 t3,5.0,1.0,positive,6
t12 t3 t84 t36 t39 t26,5.0,1.0,positive,6
t12 t3 t84 t36 t95 t26,5.0,1.0,positive,6
t70 t82 t39 t27 t36 t26,,,negative,6
t63 t49 t83 t6 t4 t4,,,negative,6
t74 t74 t67 t63 t49 t49,,,negative,6
t94 t6 t49 t58 t79 t76,,,negative,6
t70 t98 t96 t40 t97 t58,,,negative,6
t13 t97 t3 t27 t39 t76,,,negative,6
t95 t16 t64 t9 t28 t95,,,negative,6
t7 t6 t98 t49 t70 t82,,,negative,6
t79 t74 t25 t70 t76 t98,,,negative,6
t79 t55 t4 t77 t16 t12,,,negative,6
t12 t3 t97 t46 t82 t39 t26,6.0,1.0,positive,7
t25 t97 t46 t74 t55 t95 t26,7.0,1.0,positive,7
t25 t84 t40 t3 t82 t39 t26,7.0,1.0,positive,7
t25 t84 t46 t74 t40 t39 t26,7.0,1.0,positive,7
t12 t36 t53 t8 t72 t97 t46,7.0,1.0,positive,7
t25 t84 t40 t36 t53 t67 t96,6.0,1.0,positive,7
t12 t26 t97 t46 t82 t95 t3,6.0,1.0,positive,7
t25 t97 t40 t36 t53 t8 t72,6.0,1.0,positive,7
t25 t97 t40 t36 t53 t67 t96,6.0,1.0,positive,7
t12 t3 t84 t46 t82 t39 t3,6.0,1.0,positive,7
t72 t36 t9 t53 t4 t79 t87,,,negative,7
t97 t83 t98 t28 t25 t28 t28,,,negative,7
t44 t76 t7 t58 t63 t6 t55,,,negative,7
t96 t40 t13 t70 t70 t26 t94,,,negative,7
t3 t39 t67 t76 t67 t92 t36,,,negative,7
t13 t58 t39 t92 t76 t14 t36,,,negative,7
t13 t4 t36 t3 t12 t16 t96,,,negative,7
t26 t16 t84 t63 t4 t82 t74,,,negative,7
t63 t22 t87 t82 t97 t6 t98,,,negative,7
t84 t76 t82 t39 t3 t55 t96,,,negative,7
t12 t26 t97 t46 t74 t55 t39 t3,7.0,1.0,positive,8
t25 t84 t40 t3 t49 t40 t95 t3,7.0,1.0,positive,8
t25 t84 t55 t26 t68 t55 t95 t26,7.0,1.0,positive,8
t12 t3 t84 t40 t3 t82 t95 t3,7.0,1.0,positive,8
t25 t97 t55 t14 t87 t53 t67 t96,7.0,1.0,positive,8
t25 t97 t40 t26 t74 t55 t39 t3,7.0,1.0,positive,8
t12 t36 t53 t26 t96 t72 t97 t46,8.0,1.0,positive,8
t25 t97 t55 t77 t87 t53 t8 t72,7.0,1.0,positive,8
t25 t84 t40 t14 t87 t53 t67 t96,7.0,1.0,positive,8
t12 t26 t84 t46 t68 t40 t39 t26,7.0,1.0,positive,8
t96 t25 t58 t58 t7 t82 t26 t72,,,negative,8
t77 t49 t94 t72 t79 t46 t14 t97,,,negative,8
t95 t44 t87 t9 t44 t64 t83 t36,,,negative,8
t92 t72 t36 t92 t14 t76 t27 t84,,,negative,8
t26 t76 t67 t70 t94 t6 t4 t92,,,negative,8
t4 t72 t82 t8 t87 t92 t96 t13,,,negative,8
t64 t92 t12 t87 t98 t49 t26 t67,,,negative,8
t87 t36 t7 t25 t22 t77 t3 t39,,,negative,8
t97 t95 t58 t8 t87 t63 t63 t53,,,negative,8
t68 t26 t95 t8 t79 t72 t44 t55,,,negative,8
t25 t84 t40 t26 t49 t36 t39 t95 t3,8.0,1.0,positive,9
t12 t26 t84 t40 t14 t87 t53 t13 t96,7.0,1.0,positive,9
t25 t84 t36 t95 t26 t74 t40 t39 t3,8.0,1.0,positive,9
t12 t3 t84 t55 t77 t87 t53 t77 t72,7.0,1.0,positive,9
t12 t3 t84 t40 t3 t68 t55 t95 t3,7.0,1.0,positive,9
t25 t84 t36 t95 t3 t74 t40 t39 t26,8.0,1.0,positive,9
t12 t77 t87 t53 t13 t96 t84 t55 t26,8.0,1.0,positive,9
t12 t26 t84 t40 t3 t49 t40 t39 t3,7.0,1.0,positive,9
t25 t84 t55 t36 t53 t77 t3 t67 t64,8.0,1.0,positive,9
t12 t3 t97 t55 t26 t74 t40 t39 t26,7.0,1.0,positive,9
t92 t44 t12 t13 t95 t72 t40 t74 t95,,,negative,9
t4 t67 t96 t98 t8 t3 t16 t76 t97,,,negative,9
t53 t6 t68 t46 t6 t96 t83 t13 t12,,,negative,9
t8 t84 t8 t8 t3 t44 t98 t3 t55,,,negative,9
t53 t6 t39 t68 t97 t72 t27 t8 t67,,,negative,9
t72 t68 t12 t95 t6 t27 t49 t95 t28,,,negative,9
t13 t58 t25 t46 t9 t74 t76 t8 t28,,,negative,9
t25 t98 t16 t87 t26 t70 t87 t3 t40,,,negative,9
t72 t53 t9 t68 t63 t63 t79 t39 t44,,,negative,9
t84 t58 t16 t36 t63 t70 t8 t22 t26,,,negative,9
t25 t97 t55 t3 t82 t95 t26 t82 t39 t3,10.0,1.0,positive,10
