sample,parse_depth,type,length
t36,,negative,1
t15,,negative,1
t13,,negative,1
t1,,negative,1
t6,,negative,1
t8,,negative,1
t23,,negative,1
t2,,negative,1
t8 t8,2.0,positive,2
t2 t8,2.0,positive,2
t8 t2,2.0,positive,2
t2 t2,2.0,positive,2
t13 t23,,negative,2
t6 t8,,negative,2
t2 t13,,negative,2
t2 t36,,negative,2
t8 t1,,negative,2
t1 t8,,negative,2
t36 t6,,negative,2
t15 t36,,negative,2
t15 t8,,negative,2
t15 t2,,negative,2
t1 t8 t1,,negative,3
t1 t36 t2,,negative,3
t2 t1 t23,,negative,3
t6 t1 t15,,negative,3
t1 t8 t23,,negative,3
t36 t23 t8,,negative,3
t15 t6 t13,,negative,3
t23 t2 t6,,negative,3
t1 t15 t13,,negative,3
t6 t2 t23,,negative,3
t23 t2 t15 t1,,negative,4
t15 t15 t23 t13,,negative,4
t8 t13 t8 t8,,negative,4
t6 t36 t6 t1,,negative,4
t13 t23 t13 t36,,negative,4
t36 t8 t8 t13,,negative,4
t15 t1 t13 t1,,negative,4
t2 t13 t2 t2,,negative,4
t36 t36 t15 t13,,negative,4
t1 t23 t1 t15,,negative,4
t1 t2 t1 t23 t6,,negative,5
t2 t15 t2 t15 t36,,negative,5
t1 t6 t15 t2 t1,,negative,5
t23 t6 t2 t2 t8,,negative,5
t15 t8 t23 t1 t6,,negative,5
t13 t15 t6 t23 t6,,negative,5
t23 t36 t13 t1 t15,,negative,5
t15 t23 t2 t23 t15,,negative,5
t2 t13 t6 t15 t23,,negative,5
t15 t6 t15 t6 t1,,negative,5
t23 t1 t1 t23 t15 t2,4.0,positive,6
t23 t1 t1 t23 t15 t8,4.0,positive,6
t1 t2 t15 t1 t23 t13,,negative,6
t2 t6 t6 t1 t1 t2,,negative,6
t2 t2 t36 t1 t36 t15,,negative,6
t8 t23 t15 t1 t36 t6,,negative,6
t13 t1 t23 t8 t6 t6,,negative,6
t6 t13 t6 t2 t2 t1,,negative,6
t6 t15 t36 t15 t13 t13,,negative,6
t8 t8 t6 t1 t6 t15,,negative,6
t15 t36 t36 t36 t1 t1,,negative,6
t2 t8 t13 t2 t6 t36,,negative,6
t13 t23 t8 t8 t13 t8 t1,,negative,7
t36 t6 t13 t8 t36 t36 t6,,negative,7
t6 t6 t1 t23 t1 t13 t2,,negative,7
t15 t2 t15 t13 t23 t15 t1,,negative,7
t6 t8 t2 t8 t8 t8 t15,,negative,7
t23 t6 t15 t6 t8 t2 t1,,negative,7
t36 t15 t1 t13 t23 t6 t15,,negative,7
t2 t13 t8 t1 t6 t36 t13,,negative,7
t1 t8 t15 t8 t15 t1 t6,,negative,7
t13 t1 t15 t13 t15 t15 t1,,negative,7
t23 t2 t13 t13 t36 t6 t1 t36,,negative,8
t2 t8 t15 t36 t8 t15 t1 t36,,negative,8
t15 t15 t15 t36 t1 t2 t13 t2,,negative,8
t2 t23 t36 t1 t8 t1 t15 t6,,negative,8
t13 t2 t8 t23 t15 t36 t13 t23,,negative,8
t1 t1 t1 t1 t23 t15 t8 t15,,negative,8
t8 t36 t1 t13 t1 t36 t13 t6,,negative,8
t23 t1 t13 t2 t13 t6 t6 t36,,negative,8
t13 t2 t13 t36 t1 t13 t1 t6,,negative,8
t1 t8 t36 t13 t13 t36 t36 t6,,negative,8
t23 t13 t6 t23 t15 t2 t8 t6 t2,,negative,9
t6 t6 t6 t13 t1 t13 t8 t2 t1,,negative,9
t13 t2 t6 t13 t8 t6 t2 t1 t15,,negative,9
t2 t15 t23 t6 t36 t2 t13 t36 t36,,negative,9
t1 t8 t8 t6 t1 t23 t13 t2 t6,,negative,9
t6 t23 t8 t23 t13 t36 t36 t6 t15,,negative,9
t8 t1 t23 t6 t2 t1 t36 t1 t23,,negative,9
t23 t15 t23 t13 t1 t8 t8 t13 t23,,negative,9
t23 t15 t36 t2 t2 t8 t13 t8 t36,,negative,9
t23 t15 t8 t13 t36 t36 t23 t36 t8,,negative,9
t15 t13 t13 t13 t15 t8 t36 t6 t1 t1,,negative,10
t1 t15 t36 t6 t13 t23 t23 t8 t15 t23,,negative,10
t13 t1 t1 t15 t6 t36 t23 t13 t2 t36,,negative,10
t36 t15 t13 t15 t1 t13 t23 t1 t13 t23,,negative,10
t13 t13 t13 t6 t13 t36 t1 t36 t1 t8,,negative,10
t15 t6 t8 t13 t6 t8 t1 t15 t1 t8,,negative,10
t6 t6 t8 t1 t8 t36 t15 t15 t36 t2,,negative,10
t15 t13 t2 t15 t13 t1 t23 t13 t13 t15,,negative,10
t2 t1 t13 t6 t8 t13 t36 t6 t36 t2,,negative,10
t23 t1 t13 t1 t1 t36 t6 t23 t36 t6,,negative,10
t2 t6 t15 t13 t23 t6 t2 t13 t36 t15 t8,,negative,11
t2 t13 t2 t2 t36 t13 t36 t15 t2 t2 t15,,negative,11
t13 t8 t13 t6 t2 t2 t36 t6 t6 t15 t36,,negative,11
t2 t15 t1 t13 t36 t8 t23 t1 t36 t6 t13,,negative,11
t15 t2 t13 t2 t2 t13 t1 t6 t8 t6 t6,,negative,11
t2 t6 t23 t15 t1 t1 t13 t8 t1 t15 t8,,negative,11
t1 t2 t2 t1 t2 t15 t13 t6 t8 t13 t15,,negative,11
t1 t36 t2 t1 t8 t8 t6 t8 t15 t6 t36,,negative,11
t23 t13 t8 t2 t8 t23 t23 t13 t2 t36 t1,,negative,11
t2 t23 t6 t13 t23 t13 t13 t23 t1 t36 t6,,negative,11
t1 t13 t36 t13 t36 t15 t13 t2 t8 t2 t8 t23,,negative,12
t15 t6 t23 t13 t6 t15 t6 t6 t2 t1 t6 t13,,negative,12
t15 t23 t23 t13 t23 t6 t36 t15 t36 t6 t8 t1,,negative,12
t1 t15 t8 t6 t23 t2 t8 t8 t8 t2 t36 t15,,negative,12
t8 t6 t6 t6 t15 t15 t2 t1 t2 t23 t1 t36,,negative,12
t13 t36 t23 t23 t2 t15 t8 t8 t2 t15 t2 t15,,negative,12
t15 t15 t36 t8 t36 t8 t23 t1 t36 t1 t8 t23,,negative,12
t36 t8 t8 t36 t23 t15 t8 t1 t2 t6 t36 t8,,negative,12
