sample,parse_depth,type,length
t70,,negative,1
t179,,negative,1
t229,,negative,1
t247,,negative,1
t145,,negative,1
t64,,negative,1
t212,,negative,1
t14,,negative,1
t115,,negative,1
t116,,negative,1
t172 t209,2.0,positive,2
t27 t224,2.0,positive,2
t214 t121,2.0,positive,2
t172 t22,2.0,positive,2
t215 t35,2.0,positive,2
t214 t12,2.0,positive,2
t162 t12,2.0,positive,2
t172 t162,2.0,positive,2
t172 t67,2.0,positive,2
t179 t176,2.0,positive,2
t49 t230,,negative,2
t71 t243,,negative,2
t168 t204,,negative,2
t18 t171,,negative,2
t74 t28,,negative,2
t26 t15,,negative,2
t23 t94,,negative,2
t178 t187,,negative,2
t97 t235,,negative,2
t73 t43,,negative,2
t43 t53 t114,3.0,positive,3
t215 t30 t218,3.0,positive,3
t231 t12 t189,3.0,positive,3
t43 t129 t122,3.0,positive,3
t39 t53 t218,3.0,positive,3
t24 t12 t200,3.0,positive,3
t127 t155 t70,3.0,positive,3
t214 t155 t70,3.0,positive,3
t162 t179 t49,3.0,positive,3
t240 t53 t189,3.0,positive,3
t85 t216 t196,,negative,3
t176 t122 t128,,negative,3
t95 t161 t212,,negative,3
t45 t41 t163,,negative,3
t27 t36 t27,,negative,3
t145 t24 t231,,negative,3
t67 t7 t187,,negative,3
t36 t136 t43,,negative,3
t23 t22 t105,,negative,3
t18 t141 t140,,negative,3
t39 t94 t11 t148,4.0,positive,4
t172 t210 t42 t192,4.0,positive,4
t24 t64 t35 t177,4.0,positive,4
t179 t179 t134 t31,4.0,positive,4
t57 t243 t166 t185,4.0,positive,4
t97 t18 t118 t200,4.0,positive,4
t43 t47 t24 t185,4.0,positive,4
t15 t166 t42 t218,4.0,positive,4
t162 t94 t148 t148,4.0,positive,4
t215 t183 t76 t51,4.0,positive,4
t229 t212 t51 t7,,negative,4
t214 t85 t35 t226,,negative,4
t92 t45 t237 t118,,negative,4
t218 t72 t201 t7,,negative,4
t12 t143 t211 t243,,negative,4
t213 t193 t241 t179,,negative,4
t240 t91 t26 t71,,negative,4
t168 t32 t65 t176,,negative,4
t199 t167 t57 t15,,negative,4
t86 t218 t77 t50,,negative,4
t172 t166 t217 t52 t218,5.0,positive,5
t238 t53 t36 t161 t161,5.0,positive,5
t214 t189 t206 t52 t49,5.0,positive,5
t162 t24 t118 t20 t70,5.0,positive,5
t43 t73 t76 t134 t45,5.0,positive,5
t168 t45 t162 t190 t70,5.0,positive,5
t162 t179 t148 t39 t192,5.0,positive,5
t43 t192 t179 t71 t177,5.0,positive,5
t240 t155 t144 t240 t150,5.0,positive,5
t113 t149 t49 t85 t70,5.0,positive,5
t35 t64 t73 t216 t88,,negative,5
t177 t97 t151 t237 t1,,negative,5
t225 t247 t71 t196 t6,,negative,5
t114 t82 t109 t225 t109,,negative,5
t103 t11 t11 t67 t124,,negative,5
t213 t187 t91 t82 t33,,negative,5
t103 t151 t36 t204 t91,,negative,5
t50 t71 t158 t74 t191,,negative,5
t154 t121 t74 t43 t229,,negative,5
t37 t128 t104 t171 t236,,negative,5
t214 t243 t45 t65 t247 t71,6.0,positive,6
t43 t7 t100 t127 t42 t122,6.0,positive,6
t113 t14 t167 t52 t200 t71,5.0,positive,6
t97 t189 t168 t27 t141 t218,5.0,positive,6
t43 t166 t10 t161 t42 t196,6.0,positive,6
t172 t4 t124 t128 t124 t186,6.0,positive,6
t57 t155 t117 t36 t227 t200,6.0,positive,6
t215 t134 t236 t208 t216 t24,5.0,positive,6
t15 t62 t183 t119 t148 t167,6.0,positive,6
t179 t231 t4 t51 t149 t122,6.0,positive,6
t138 t162 t155 t179 t54 t17,,negative,6
t243 t74 t47 t26 t193 t43,,negative,6
t202 t72 t71 t10 t189 t46,,negative,6
t118 t41 t90 t10 t151 t88,,negative,6
t178 t227 t113 t145 t124 t191,,negative,6
t88 t51 t15 t58 t242 t76,,negative,6
t190 t144 t57 t26 t71 t215,,negative,6
t54 t50 t190 t210 t54 t185,,negative,6
t3 t247 t154 t26 t54 t215,,negative,6
t28 t150 t228 t36 t210 t198,,negative,6
t231 t30 t51 t71 t170 t64 t31,7.0,positive,7
t179 t12 t225 t161 t35 t88 t161,7.0,positive,7
t43 t12 t215 t102 t122 t210 t200,6.0,positive,7
t51 t159 t215 t24 t215 t129 t49,6.0,positive,7
t113 t30 t121 t148 t208 t211 t210,7.0,positive,7
t15 t183 t225 t86 t33 t19 t150,5.0,positive,7
t179 t53 t132 t183 t182 t49 t179,6.0,positive,7
t162 t215 t49 t179 t149 t39 t29,7.0,positive,7
t27 t117 t141 t59 t127 t215 t192,7.0,positive,7
t24 t218 t149 t211 t76 t132 t144,7.0,positive,7
t122 t84 t202 t125 t208 t145 t241,,negative,7
t198 t226 t26 t132 t105 t53 t0,,negative,7
t58 t47 t247 t54 t153 t91 t200,,negative,7
t166 t182 t144 t188 t14 t118 t120,,negative,7
t102 t244 t46 t36 t132 t95 t15,,negative,7
t100 t230 t30 t177 t233 t206 t116,,negative,7
t54 t80 t119 t158 t114 t66 t97,,negative,7
t201 t168 t51 t122 t3 t54 t141,,negative,7
t184 t198 t58 t74 t70 t148 t148,,negative,7
t49 t129 t138 t202 t218 t192 t105,,negative,7
t240 t215 t67 t80 t161 t120 t51 t35,6.0,positive,8
t215 t129 t134 t167 t210 t114 t71 t177,7.0,positive,8
t127 t12 t187 t227 t11 t109 t67 t114,8.0,positive,8
t214 t210 t121 t82 t192 t120 t53 t128,8.0,positive,8
t43 t62 t192 t37 t196 t148 t238 t102,7.0,positive,8
t172 t189 t211 t227 t247 t150 t62 t31,6.0,positive,8
t27 t129 t51 t91 t71 t225 t148 t192,6.0,positive,8
t27 t104 t82 t162 t193 t52 t53 t114,7.0,positive,8
t57 t86 t65 t15 t36 t35 t15 t158,6.0,positive,8
t238 t73 t161 t37 t32 t67 t1 t192,8.0,positive,8
t218 t88 t40 t216 t16 t66 t12 t210,,negative,8
t117 t49 t145 t85 t104 t66 t153 t242,,negative,8
t84 t136 t55 t206 t57 t80 t243 t49,,negative,8
t123 t167 t154 t37 t19 t218 t143 t115,,negative,8
t103 t28 t180 t31 t211 t42 t64 t24,,negative,8
t140 t103 t132 t208 t189 t35 t132 t243,,negative,8
t230 t240 t43 t214 t208 t47 t171 t214,,negative,8
t53 t58 t230 t95 t129 t92 t238 t72,,negative,8
t120 t43 t90 t137 t43 t127 t54 t199,,negative,8
t243 t153 t236 t14 t196 t65 t65 t225,,negative,8
t162 t19 t31 t227 t117 t62 t179 t132 t189,8.0,positive,9
t113 t161 t201 t202 t177 t243 t210 t215 t148,7.0,positive,9
t57 t196 t118 t46 t134 t247 t182 t55 t114,8.0,positive,9
t127 t24 t109 t31 t125 t210 t215 t35 t186,7.0,positive,9
