sample,parse_depth,type,length
t5,,negative,1
t1,,negative,1
t6,,negative,1
t0,,negative,1
t4,,negative,1
t3,,negative,1
t2,,negative,1
t0 t4,,negative,2
t1 t2,,negative,2
t0 t2,,negative,2
t2 t5,,negative,2
t4 t4,,negative,2
t0 t3,,negative,2
t4 t3,,negative,2
t4 t1,,negative,2
t2 t0,,negative,2
t6 t0,,negative,2
t3 t1 t2,,negative,3
t4 t2 t2,,negative,3
t4 t6 t3,,negative,3
t6 t3 t1,,negative,3
t5 t5 t0,,negative,3
t6 t2 t3,,negative,3
t3 t3 t4,,negative,3
t0 t6 t4,,negative,3
t3 t2 t1,,negative,3
t6 t0 t6,,negative,3
t3 t3 t5 t6,,negative,4
t3 t2 t6 t0,,negative,4
t0 t6 t1 t5,,negative,4
t0 t4 t1 t1,,negative,4
t4 t2 t0 t0,,negative,4
t2 t1 t1 t3,,negative,4
t4 t0 t6 t4,,negative,4
t4 t3 t4 t0,,negative,4
t3 t0 t3 t5,,negative,4
t1 t4 t3 t1,,negative,4
t5 t5 t2 t3 t3,5.0,positive,5
t5 t5 t2 t4 t3,5.0,positive,5
t3 t5 t2 t3 t5,5.0,positive,5
t5 t5 t2 t3 t5,5.0,positive,5
t3 t5 t2 t4 t5,5.0,positive,5
t5 t5 t2 t4 t5,5.0,positive,5
t3 t5 t2 t4 t3,5.0,positive,5
t3 t5 t2 t3 t3,5.0,positive,5
t5 t6 t2 t1 t6,,negative,5
t1 t4 t5 t6 t5,,negative,5
t1 t1 t4 t0 t3,,negative,5
t6 t0 t4 t5 t3,,negative,5
t0 t3 t4 t1 t6,,negative,5
t3 t4 t0 t1 t1,,negative,5
t5 t5 t0 t5 t6,,negative,5
t6 t4 t3 t3 t2,,negative,5
t0 t4 t4 t6 t2,,negative,5
t1 t1 t0 t5 t1,,negative,5
t5 t1 t3 t2 t3 t5,5.0,positive,6
t3 t5 t2 t0 t4 t3,6.0,positive,6
t3 t5 t2 t0 t4 t5,6.0,positive,6
t3 t1 t3 t2 t3 t5,5.0,positive,6
t5 t1 t3 t2 t4 t3,5.0,positive,6
t5 t5 t2 t0 t4 t5,6.0,positive,6
t5 t1 t3 t2 t4 t5,5.0,positive,6
t5 t1 t3 t2 t3 t3,5.0,positive,6
t5 t5 t2 t0 t3 t5,6.0,positive,6
t5 t5 t2 t0 t3 t3,6.0,positive,6
t6 t4 t0 t3 t1 t4,,negative,6
t4 t5 t4 t0 t2 t1,,negative,6
t5 t1 t1 t1 t4 t5,,negative,6
t6 t3 t0 t2 t1 t1,,negative,6
t2 t4 t0 t2 t1 t0,,negative,6
t2 t4 t3 t6 t3 t4,,negative,6
t2 t1 t3 t3 t6 t4,,negative,6
t3 t0 t0 t1 t6 t3,,negative,6
t2 t2 t6 t6 t6 t0,,negative,6
t1 t0 t2 t5 t6 t1,,negative,6
t3 t3 t3 t0 t2 t4 t5,6.0,positive,7
t3 t3 t3 t0 t2 t4 t3,6.0,positive,7
t5 t3 t5 t0 t2 t4 t3,6.0,positive,7
t5 t5 t2 t0 t0 t4 t5,7.0,positive,7
t3 t1 t3 t2 t0 t3 t5,6.0,positive,7
