sample,parse_depth,type,length
t31,,negative,1
t11,,negative,1
t14,,negative,1
t25,,negative,1
t7,,negative,1
t23,,negative,1
t12,,negative,1
t13,,negative,1
t20,,negative,1
t6,,negative,1
t13 t30,2.0,positive,2
t25 t27,2.0,positive,2
t18 t23,2.0,positive,2
t13 t9,2.0,positive,2
t13 t23,2.0,positive,2
t25 t23,2.0,positive,2
t18 t9,2.0,positive,2
t23 t23,2.0,positive,2
t18 t4,2.0,positive,2
t18 t30,2.0,positive,2
t5 t8,,negative,2
t12 t9,,negative,2
t10 t5,,negative,2
t9 t14,,negative,2
t13 t34,,negative,2
t12 t12,,negative,2
t27 t25,,negative,2
t11 t9,,negative,2
t34 t6,,negative,2
t24 t9,,negative,2
t23 t28 t10,3.0,positive,3
t30 t13 t30,3.0,positive,3
t13 t27 t8,3.0,positive,3
t23 t29 t22,3.0,positive,3
t13 t28 t12,3.0,positive,3
t31 t23 t23,3.0,positive,3
t23 t1 t9,3.0,positive,3
t23 t27 t25,3.0,positive,3
t25 t29 t25,3.0,positive,3
t34 t23 t23,3.0,positive,3
t6 t20 t9,,negative,3
t6 t14 t18,,negative,3
t5 t6 t34,,negative,3
t25 t4 t27,,negative,3
t34 t13 t22,,negative,3
t8 t34 t4,,negative,3
t20 t27 t10,,negative,3
t4 t8 t27,,negative,3
t7 t30 t9,,negative,3
t30 t14 t28,,negative,3
t23 t27 t23 t12,4.0,positive,4
t23 t23 t29 t12,4.0,positive,4
t23 t24 t5 t29,4.0,positive,4
t24 t9 t13 t27,4.0,positive,4
t27 t23 t27 t12,3.0,positive,4
t13 t24 t25 t23,4.0,positive,4
t23 t1 t7 t8,4.0,positive,4
t14 t6 t13 t9,4.0,positive,4
t25 t24 t11 t29,4.0,positive,4
t27 t18 t20 t12,3.0,positive,4
t7 t28 t14 t12,,negative,4
t7 t20 t13 t1,,negative,4
t22 t31 t9 t4,,negative,4
t10 t18 t18 t13,,negative,4
t13 t1 t8 t8,,negative,4
t10 t34 t7 t31,,negative,4
t14 t9 t13 t7,,negative,4
t28 t10 t8 t8,,negative,4
t9 t28 t14 t10,,negative,4
t1 t11 t9 t8,,negative,4
t34 t13 t30 t23 t23,5.0,positive,5
t31 t14 t9 t23 t9,5.0,positive,5
t6 t13 t14 t25 t4,5.0,positive,5
t9 t31 t13 t28 t25,4.0,positive,5
t9 t30 t9 t13 t23,5.0,positive,5
t13 t31 t6 t23 t9,5.0,positive,5
