sample,parse_depth,type,length
t164,,negative,1
t91,,negative,1
t132,,negative,1
t40,,negative,1
t45,,negative,1
t68,,negative,1
t67,,negative,1
t211,,negative,1
t147,,negative,1
t196,,negative,1
t161 t65,2.0,positive,2
t161 t179,2.0,positive,2
t161 t120,2.0,positive,2
t161 t175,2.0,positive,2
t172 t44,,negative,2
t120 t211,,negative,2
t68 t36,,negative,2
t56 t151,,negative,2
t0 t212,,negative,2
t129 t129,,negative,2
t100 t44,,negative,2
t121 t166,,negative,2
t27 t99,,negative,2
t176 t129,,negative,2
t74 t212 t175,3.0,positive,3
t145 t71 t65,3.0,positive,3
t143 t96 t91,3.0,positive,3
t143 t96 t117,3.0,positive,3
t145 t212 t65,3.0,positive,3
t17 t96 t201,3.0,positive,3
t161 t90 t46,3.0,positive,3
t161 t38 t136,3.0,positive,3
t143 t177 t201,3.0,positive,3
t17 t177 t163,3.0,positive,3
t80 t150 t217,,negative,3
t98 t107 t184,,negative,3
t181 t76 t131,,negative,3
t67 t28 t147,,negative,3
t122 t150 t204,,negative,3
t17 t23 t191,,negative,3
t195 t17 t89,,negative,3
t37 t82 t76,,negative,3
t162 t76 t169,,negative,3
t9 t129 t177,,negative,3
t46 t65 t177 t201,4.0,positive,4
t145 t150 t7 t136,3.0,positive,4
t145 t212 t142 t27,3.0,positive,4
t23 t145 t90 t65,4.0,positive,4
t170 t212 t176 t162,3.0,positive,4
t170 t90 t142 t27,3.0,positive,4
t79 t7 t212 t120,4.0,positive,4
t23 t74 t90 t175,4.0,positive,4
t17 t196 t65 t201,4.0,positive,4
t170 t210 t180 t120,4.0,positive,4
t108 t176 t68 t180,,negative,4
t166 t165 t65 t67,,negative,4
t212 t77 t167 t106,,negative,4
t82 t71 t201 t108,,negative,4
t120 t147 t40 t28,,negative,4
t110 t181 t67 t163,,negative,4
t79 t71 t176 t128,,negative,4
t202 t212 t24 t65,,negative,4
t20 t121 t184 t106,,negative,4
t191 t70 t197 t74,,negative,4
t170 t210 t0 t90 t46,4.0,positive,5
t170 t56 t37 t172 t190,4.0,positive,5
t185 t175 t205 t212 t175,5.0,positive,5
t117 t142 t150 t142 t190,4.0,positive,5
t145 t150 t191 t91 t120,5.0,positive,5
t197 t90 t65 t177 t117,5.0,positive,5
t74 t212 t170 t128 t175,5.0,positive,5
t74 t150 t191 t117 t179,5.0,positive,5
t22 t193 t177 t175 t70,4.0,positive,5
t145 t56 t205 t101 t76,4.0,positive,5
t202 t128 t13 t90 t179,,negative,5
t40 t120 t0 t122 t68,,negative,5
t217 t44 t90 t28 t145,,negative,5
t196 t110 t17 t140 t78,,negative,5
t56 t140 t36 t37 t57,,negative,5
t148 t107 t180 t154 t22,,negative,5
t100 t148 t145 t0 t148,,negative,5
t46 t78 t68 t27 t17,,negative,5
t105 t185 t197 t210 t148,,negative,5
t77 t143 t27 t106 t185,,negative,5
t46 t132 t197 t98 t96 t163,6.0,positive,6
t185 t57 t196 t205 t90 t65,6.0,positive,6
t145 t197 t205 t151 t106 t65,5.0,positive,6
t143 t76 t129 t101 t120 t91,6.0,positive,6
t4 t122 t151 t99 t96 t201,6.0,positive,6
t27 t99 t96 t77 t11 t0,4.0,positive,6
t161 t99 t196 t185 t175 t27,5.0,positive,6
t46 t110 t96 t74 t96 t201,6.0,positive,6
t27 t193 t76 t37 t74 t71,5.0,positive,6
t79 t99 t76 t204 t56 t179,6.0,positive,6
t162 t120 t210 t129 t49 t57,,negative,6
t17 t179 t151 t101 t106 t65,,negative,6
t132 t170 t163 t73 t204 t173,,negative,6
t2 t213 t63 t37 t74 t78,,negative,6
t44 t20 t128 t36 t83 t100,,negative,6
t96 t177 t76 t185 t44 t70,,negative,6
t17 t150 t98 t96 t99 t44,,negative,6
t173 t82 t76 t49 t128 t105,,negative,6
t195 t163 t169 t82 t143 t76,,negative,6
t0 t56 t13 t179 t22 t57,,negative,6
t27 t193 t177 t7 t161 t7 t136,6.0,positive,7
t46 t65 t162 t110 t96 t176 t91,6.0,positive,7
t161 t197 t73 t11 t176 t36 t27,6.0,positive,7
