sample,parse_depth,type,length
t1,,negative,1
t3,,negative,1
t0,,negative,1
t4,,negative,1
t2,,negative,1
t2 t2,,negative,2
t3 t3,,negative,2
t2 t1,,negative,2
t0 t2,,negative,2
t3 t4,,negative,2
t1 t0,,negative,2
t1 t2,,negative,2
t1 t3,,negative,2
t3 t2,,negative,2
t2 t0,,negative,2
t3 t1 t2,3.0,positive,3
t3 t3 t2,3.0,positive,3
t3 t4 t3,,negative,3
t3 t0 t4,,negative,3
t1 t2 t1,,negative,3
t0 t3 t0,,negative,3
t1 t1 t2,,negative,3
t3 t0 t0,,negative,3
t0 t4 t2,,negative,3
t1 t2 t3,,negative,3
t2 t4 t2,,negative,3
t3 t2 t4,,negative,3
t3 t2 t1 t2,4.0,positive,4
t3 t1 t3 t2,4.0,positive,4
t3 t2 t3 t2,4.0,positive,4
t3 t1 t1 t2,4.0,positive,4
t2 t4 t3 t3,,negative,4
t3 t0 t0 t0,,negative,4
t2 t2 t0 t0,,negative,4
t4 t2 t3 t2,,negative,4
t4 t2 t4 t2,,negative,4
t0 t3 t3 t1,,negative,4
t1 t2 t2 t3,,negative,4
t4 t3 t3 t3,,negative,4
t0 t3 t1 t2,,negative,4
t2 t3 t4 t1,,negative,4
t3 t0 t1 t4 t2,5.0,positive,5
t3 t3 t1 t4 t2,5.0,positive,5
t2 t0 t4 t2 t4,,negative,5
t4 t1 t0 t2 t2,,negative,5
t4 t3 t4 t1 t0,,negative,5
t0 t4 t2 t2 t4,,negative,5
t0 t0 t4 t0 t2,,negative,5
t0 t0 t2 t1 t1,,negative,5
t3 t3 t3 t2 t3,,negative,5
t1 t3 t3 t4 t0,,negative,5
t3 t3 t4 t1 t4,,negative,5
t0 t2 t1 t4 t4,,negative,5
t3 t3 t4 t1 t4 t2,6.0,positive,6
t3 t3 t3 t1 t3 t2,6.0,positive,6
t3 t3 t0 t1 t4 t2,6.0,positive,6
t3 t3 t3 t3 t3 t2,6.0,positive,6
t3 t3 t1 t3 t4 t2,6.0,positive,6
t4 t1 t1 t1 t0 t3,,negative,6
t0 t4 t4 t0 t1 t2,,negative,6
t4 t4 t4 t0 t4 t1,,negative,6
t0 t1 t4 t4 t4 t4,,negative,6
t1 t4 t1 t2 t3 t4,,negative,6
t3 t1 t0 t1 t2 t3,,negative,6
t4 t1 t1 t4 t2 t2,,negative,6
t3 t1 t4 t0 t2 t2,,negative,6
t0 t3 t1 t2 t3 t2,,negative,6
t3 t3 t4 t3 t2 t1,,negative,6
t3 t3 t3 t2 t1 t3 t2,7.0,positive,7
t3 t2 t3 t3 t1 t3 t2,6.0,positive,7
t3 t1 t3 t0 t1 t4 t2,6.0,positive,7
t3 t3 t3 t1 t3 t3 t2,7.0,positive,7
t3 t2 t3 t1 t3 t4 t2,6.0,positive,7
t3 t3 t3 t2 t3 t3 t2,7.0,positive,7
t3 t2 t3 t3 t3 t3 t2,6.0,positive,7
t3 t3 t3 t1 t1 t3 t2,7.0,positive,7
t3 t1 t3 t1 t3 t4 t2,6.0,positive,7
t3 t2 t3 t0 t1 t4 t2,6.0,positive,7
t2 t4 t3 t1 t0 t4 t4,,negative,7
t1 t3 t0 t4 t2 t2 t1,,negative,7
t1 t3 t1 t2 t3 t2 t0,,negative,7
t1 t4 t1 t4 t1 t3 t2,,negative,7
t0 t0 t4 t2 t3 t3 t2,,negative,7
t2 t4 t4 t4 t2 t0 t4,,negative,7
t0 t4 t4 t2 t3 t4 t0,,negative,7
t4 t4 t2 t1 t1 t3 t3,,negative,7
t0 t1 t3 t4 t3 t2 t1,,negative,7
t4 t4 t2 t3 t3 t3 t3,,negative,7
t3 t3 t3 t0 t1 t4 t3 t2,8.0,positive,8
t3 t2 t3 t3 t1 t1 t3 t2,7.0,positive,8
t3 t2 t3 t3 t1 t3 t3 t2,7.0,positive,8
t3 t2 t3 t3 t2 t3 t3 t2,7.0,positive,8
t3 t3 t3 t3 t1 t4 t3 t2,8.0,positive,8
t3 t3 t0 t1 t4 t3 t4 t2,8.0,positive,8
t3 t1 t3 t3 t1 t1 t3 t2,7.0,positive,8
t3 t1 t3 t3 t1 t3 t3 t2,7.0,positive,8
t3 t3 t3 t1 t4 t3 t4 t2,8.0,positive,8
t3 t1 t3 t3 t2 t1 t3 t2,7.0,positive,8
t3 t0 t3 t3 t4 t2 t0 t3,,negative,8
t4 t0 t1 t4 t1 t4 t3 t4,,negative,8
t1 t0 t4 t1 t1 t3 t0 t4,,negative,8
t3 t3 t2 t2 t0 t0 t4 t2,,negative,8
t0 t0 t4 t1 t3 t0 t2 t0,,negative,8
t4 t0 t4 t3 t2 t0 t4 t0,,negative,8
t2 t0 t1 t2 t4 t3 t4 t2,,negative,8
t0 t4 t0 t0 t2 t3 t2 t0,,negative,8
t3 t2 t3 t1 t1 t1 t4 t1,,negative,8
t3 t4 t1 t0 t0 t2 t4 t0,,negative,8
t3 t2 t3 t3 t1 t4 t3 t4 t2,8.0,positive,9
t3 t2 t3 t3 t3 t1 t4 t3 t2,8.0,positive,9
t3 t3 t3 t3 t0 t1 t4 t3 t2,9.0,positive,9
t3 t2 t3 t0 t1 t4 t3 t4 t2,8.0,positive,9
t3 t3 t3 t3 t4 t1 t4 t3 t2,9.0,positive,9
t3 t3 t3 t3 t1 t3 t4 t3 t2,9.0,positive,9
t3 t2 t3 t3 t0 t1 t4 t3 t2,8.0,positive,9
t3 t1 t3 t3 t1 t4 t3 t4 t2,8.0,positive,9
t3 t1 t3 t0 t1 t4 t3 t4 t2,8.0,positive,9
t3 t3 t3 t3 t3 t3 t3 t3 t2,9.0,positive,9
t2 t1 t0 t0 t0 t1 t0 t3 t3,,negative,9
t2 t1 t1 t4 t2 t0 t2 t3 t2,,negative,9
t3 t1 t3 t1 t2 t4 t1 t1 t4,,negative,9
t4 t1 t2 t4 t0 t1 t2 t3 t4,,negative,9
t3 t1 t4 t3 t4 t1 t4 t1 t1,,negative,9
t3 t2 t0 t1 t4 t2 t1 t4 t4,,negative,9
t3 t3 t4 t4 t4 t3 t0 t4 t3,,negative,9
t4 t0 t0 t2 t0 t4 t1 t4 t3,,negative,9
t3 t0 t2 t4 t3 t1 t3 t4 t4,,negative,9
t1 t3 t4 t0 t1 t2 t4 t1 t1,,negative,9
t3 t3 t3 t1 t3 t3 t1 t3 t3 t2,9.0,positive,10
t3 t3 t3 t2 t3 t1 t3 t4 t3 t2,9.0,positive,10
t3 t3 t3 t2 t3 t0 t1 t4 t3 t2,9.0,positive,10
t3 t3 t3 t2 t3 t4 t1 t4 t3 t2,9.0,positive,10
t3 t3 t3 t3 t3 t2 t1 t3 t3 t2,10.0,positive,10
t3 t3 t3 t1 t3 t0 t1 t4 t3 t2,9.0,positive,10
t3 t1 t3 t3 t3 t3 t3 t3 t3 t2,9.0,positive,10
t3 t3 t3 t1 t3 t4 t1 t4 t3 t2,9.0,positive,10
t3 t3 t3 t2 t3 t3 t1 t3 t3 t2,9.0,positive,10
t3 t3 t3 t3 t3 t1 t3 t3 t3 t2,10.0,positive,10
t1 t3 t2 t1 t4 t0 t3 t4 t2 t4,,negative,10
t0 t4 t1 t4 t3 t4 t1 t0 t0 t3,,negative,10
t1 t3 t4 t1 t0 t1 t0 t0 t2 t3,,negative,10
t0 t2 t4 t1 t0 t2 t3 t1 t1 t0,,negative,10
t3 t2 t3 t1 t4 t1 t4 t1 t2 t4,,negative,10
t4 t0 t3 t4 t4 t1 t2 t2 t3 t4,,negative,10
t2 t3 t4 t3 t3 t4 t1 t4 t2 t3,,negative,10
t2 t1 t1 t0 t4 t1 t3 t1 t2 t1,,negative,10
t0 t2 t2 t2 t1 t3 t0 t4 t1 t1,,negative,10
t4 t4 t0 t3 t0 t1 t3 t0 t2 t3,,negative,10
t3 t1 t3 t3 t2 t3 t3 t3 t3 t3 t2,9.0,positive,11
t3 t3 t3 t2 t3 t3 t1 t3 t3 t3 t2,10.0,positive,11
t3 t3 t3 t3 t0 t1 t4 t3 t4 t3 t2,11.0,positive,11
t3 t1 t3 t3 t2 t3 t0 t1 t4 t3 t2,9.0,positive,11
t3 t2 t3 t3 t1 t3 t1 t3 t4 t3 t2,9.0,positive,11
t3 t3 t3 t1 t3 t3 t2 t1 t3 t3 t2,10.0,positive,11
t3 t2 t3 t3 t3 t3 t2 t3 t3 t3 t2,10.0,positive,11
t3 t2 t3 t3 t1 t3 t0 t1 t4 t3 t2,9.0,positive,11
t3 t1 t3 t3 t3 t3 t2 t1 t3 t3 t2,10.0,positive,11
t3 t3 t3 t2 t3 t3 t2 t1 t3 t3 t2,10.0,positive,11
t4 t3 t3 t0 t4 t2 t1 t4 t3 t1 t0,,negative,11
t3 t2 t1 t3 t3 t4 t3 t3 t3 t3 t1,,negative,11
t1 t1 t2 t3 t0 t2 t0 t0 t4 t3 t1,,negative,11
t2 t3 t1 t1 t3 t3 t2 t0 t4 t2 t4,,negative,11
t4 t4 t3 t2 t2 t0 t0 t2 t2 t1 t0,,negative,11
t4 t0 t4 t2 t1 t1 t0 t1 t1 t1 t2,,negative,11
t0 t3 t2 t0 t2 t1 t4 t3 t1 t4 t3,,negative,11
t1 t2 t2 t2 t3 t1 t2 t3 t3 t0 t4,,negative,11
t3 t3 t4 t4 t3 t3 t1 t3 t1 t4 t3,,negative,11
t3 t0 t3 t3 t2 t3 t2 t3 t0 t3 t4,,negative,11
t3 t1 t3 t3 t1 t3 t3 t1 t3 t3 t3 t2,10.0,positive,12
t3 t1 t3 t3 t2 t3 t3 t2 t3 t3 t3 t2,10.0,positive,12
t3 t2 t3 t3 t1 t3 t3 t2 t3 t3 t3 t2,10.0,positive,12
t3 t3 t3 t2 t3 t3 t1 t4 t3 t4 t3 t2,11.0,positive,12
t3 t3 t3 t1 t3 t3 t1 t4 t3 t4 t3 t2,11.0,positive,12
t3 t1 t3 t3 t3 t3 t0 t1 t4 t3 t3 t2,11.0,positive,12
t3 t3 t3 t1 t3 t3 t0 t1 t4 t3 t3 t2,11.0,positive,12
t3 t2 t3 t3 t3 t0 t1 t4 t3 t4 t3 t2,11.0,positive,12
t3 t1 t3 t3 t2 t3 t3 t1 t3 t3 t3 t2,10.0,positive,12
t3 t2 t3 t3 t1 t3 t3 t2 t1 t3 t3 t2,10.0,positive,12
t3 t1 t2 t4 t4 t0 t1 t2 t3 t2 t0 t0,,negative,12
t0 t0 t4 t4 t1 t0 t0 t0 t1 t1 t0 t2,,negative,12
t0 t2 t2 t3 t2 t1 t0 t4 t3 t0 t1 t1,,negative,12
t4 t2 t4 t0 t4 t0 t2 t2 t0 t3 t2 t0,,negative,12
t3 t3 t3 t1 t4 t1 t2 t2 t1 t4 t1 t1,,negative,12
t4 t1 t4 t2 t1 t2 t1 t2 t4 t1 t2 t3,,negative,12
t0 t3 t2 t4 t1 t1 t3 t1 t0 t4 t3 t0,,negative,12
t1 t4 t0 t3 t4 t2 t3 t2 t0 t0 t4 t1,,negative,12
t1 t2 t4 t3 t2 t2 t4 t2 t0 t0 t4 t0,,negative,12
t4 t3 t2 t4 t0 t0 t3 t4 t4 t2 t1 t3,,negative,12
t3 t2 t3 t3 t3 t3 t3 t1 t3 t4 t3 t3 t2,12.0,positive,13
t3 t1 t3 t3 t3 t3 t3 t4 t1 t4 t3 t3 t2,12.0,positive,13
t3 t3 t3 t1 t3 t3 t3 t3 t3 t3 t3 t3 t2,12.0,positive,13
t3 t2 t3 t3 t1 t3 t3 t1 t4 t3 t4 t3 t2,11.0,positive,13
t3 t3 t3 t1 t3 t3 t3 t3 t1 t3 t3 t3 t2,12.0,positive,13
t3 t2 t3 t3 t1 t3 t0 t1 t4 t3 t4 t3 t2,11.0,positive,13
t3 t1 t3 t3 t3 t3 t3 t1 t3 t4 t3 t3 t2,12.0,positive,13
t3 t3 t3 t2 t3 t3 t3 t1 t3 t4 t3 t3 t2,12.0,positive,13
t3 t3 t3 t1 t3 t3 t3 t1 t3 t4 t3 t3 t2,12.0,positive,13
t3 t2 t3 t3 t3 t3 t3 t0 t1 t4 t3 t3 t2,12.0,positive,13
t4 t1 t0 t0 t2 t3 t3 t4 t3 t2 t0 t3 t2,,negative,13
t0 t4 t4 t1 t0 t1 t1 t1 t1 t1 t4 t4 t1,,negative,13
t0 t2 t2 t0 t4 t1 t3 t0 t0 t3 t0 t2 t3,,negative,13
t3 t4 t0 t4 t2 t1 t1 t0 t4 t0 t1 t3 t1,,negative,13
t1 t4 t4 t4 t2 t1 t1 t4 t1 t4 t4 t0 t4,,negative,13
t3 t4 t4 t2 t3 t3 t3 t3 t4 t1 t0 t2 t2,,negative,13
t1 t2 t1 t1 t0 t2 t0 t2 t0 t1 t2 t3 t0,,negative,13
t4 t2 t4 t0 t3 t0 t4 t2 t2 t1 t0 t2 t0,,negative,13
t2 t0 t0 t1 t4 t3 t1 t1 t4 t3 t4 t2 t2,,negative,13
t4 t0 t1 t2 t2 t3 t2 t0 t1 t3 t2 t0 t1,,negative,13
t3 t3 t3 t3 t3 t1 t3 t3 t1 t3 t3 t3 t3 t2,13.0,positive,14
t3 t1 t3 t3 t1 t3 t3 t3 t3 t1 t3 t3 t3 t2,12.0,positive,14
